date,added,ratings,reviews,to-read
2022-08-16,16,4,0,10
2022-08-17,11,2,0,8
2022-08-18,11,2,0,5
2022-08-19,7,1,0,2
2022-08-20,6,1,0,2
2022-08-21,13,3,0,7
2022-08-22,6,5,0,5
2022-08-23,13,3,1,6
2022-08-24,15,3,0,10
2022-08-25,4,4,0,2
2022-08-26,7,1,0,3
2022-08-27,13,3,0,4
2022-08-28,17,2,0,5
2022-08-29,7,0,0,6
2022-08-30,9,2,1,7
2022-08-31,7,2,0,3
2022-09-01,8,2,1,4
2022-09-02,7,1,0,3
2022-09-03,10,1,0,5
2022-09-04,9,3,0,3
2022-09-05,7,2,0,3
2022-09-06,12,0,0,6
2022-09-07,9,1,0,6
2022-09-08,3,3,0,1
2022-09-09,12,1,0,7
2022-09-10,11,1,0,6
2022-09-11,5,2,0,3
2022-09-12,7,1,0,2
2022-09-13,14,5,0,5
2022-09-14,12,6,1,2
2022-09-15,6,2,0,4
2022-09-16,6,2,0,4
2022-09-17,9,3,0,5
2022-09-18,18,4,1,11
2022-09-19,16,5,1,6
2022-09-20,12,4,2,8
2022-09-21,8,5,0,2
2022-09-22,13,4,1,9
2022-09-23,6,-11,0,3
2022-09-24,14,5,0,2
2022-09-25,17,1,0,9
2022-09-26,7,-5,0,3
2022-09-27,14,-8,0,6
2022-09-28,7,-27,0,3
2022-09-29,8,-27,0,4
2022-09-30,4,0,0,4
2022-10-01,10,3,0,4
2022-10-02,8,0,1,3
2022-10-03,21,2,1,17
2022-10-04,120,0,0,115
2022-10-05,18,5,0,14
2022-10-06,34,3,0,29
2022-10-07,24,3,0,19
2022-10-08,28,3,0,21
2022-10-09,20,-4,1,14
2022-10-10,10,2,0,6
2022-10-11,16,2,0,12
2022-10-12,20,-1,0,13
2022-10-13,9,1,0,8
2022-10-14,9,-4,0,4
2022-10-15,14,3,1,4
2022-10-16,18,-12,0,9
2022-10-17,13,-8,0,8
2022-10-18,18,-2,0,15
2022-10-19,23,3,0,15
2022-10-20,9,1,0,4
2022-10-21,11,1,0,5
2022-10-22,15,-2,0,5
2022-10-23,15,-24,0,9
2022-10-24,32,-24,1,27
2022-10-25,13,-1,0,9
2022-10-26,4,2,0,2
2022-10-27,15,4,1,8
2022-10-28,10,2,0,7
2022-10-29,19,0,1,14
2022-10-30,17,2,2,13
2022-10-31,10,1,0,9
2022-11-01,9,2,1,5
2022-11-02,12,5,0,5
2022-11-03,12,-5,1,9
2022-11-04,7,2,0,4
2022-11-05,5,-1,0,3
2022-11-06,25,1,0,15
2022-11-07,12,2,1,7
2022-11-08,8,3,0,3
2022-11-09,11,1,0,8
2022-11-10,36,4,1,30
2022-11-11,23,1,0,22
2022-11-12,23,3,0,15
2022-11-13,19,2,0,11
2022-11-14,12,2,0,4
2022-11-15,12,3,0,9
2022-11-16,14,5,0,9
2022-11-17,11,1,0,8
2022-11-18,7,2,0,4
2022-11-19,11,3,0,6
2022-11-20,16,2,0,9
2022-11-21,12,2,0,7
2022-11-22,15,4,0,9
2022-11-23,8,3,0,6
2022-11-24,15,4,0,5
2022-11-25,11,3,0,5
2022-11-26,12,2,1,9
2022-11-27,19,7,1,9
2022-11-28,13,1,1,6
2022-11-29,9,5,1,5
2022-11-30,14,2,0,8
2022-12-01,8,6,0,5
2022-12-02,9,1,0,3
2022-12-03,11,6,1,4
2022-12-04,13,3,1,4
2022-12-05,16,5,0,8
2022-12-06,16,3,0,8
2022-12-07,13,3,1,6
2022-12-08,7,1,1,5
2022-12-09,11,1,0,7
2022-12-10,19,5,-1,6
2022-12-11,15,5,0,10
2022-12-12,11,1,0,5
2022-12-13,15,5,1,8
2022-12-14,16,2,0,10
2022-12-15,15,5,0,5
2022-12-16,13,6,0,7
2022-12-17,8,-1,0,5
2022-12-18,17,6,0,9
2022-12-19,14,-1,0,7
2022-12-20,18,3,0,10
2022-12-21,13,5,1,6
2022-12-22,8,3,0,6
2022-12-23,13,1,1,5
2022-12-24,15,5,0,5
2022-12-25,15,4,0,9
2022-12-26,22,4,0,10
2022-12-27,28,5,0,15
2022-12-28,24,11,0,8
2022-12-29,24,3,0,17
2022-12-30,29,7,-1,13
2022-12-31,24,15,1,7
2023-01-01,61,9,0,33
2023-01-02,84,15,1,67
2023-01-03,42,3,1,25
2023-01-04,40,6,0,25
2023-01-05,39,8,0,26
2023-01-06,33,3,2,23
2023-01-07,25,6,0,15
2023-01-08,20,4,2,6
2023-01-09,22,5,-1,10
2023-01-10,24,1,0,13
2023-01-11,19,6,0,10
2023-01-12,19,-5,1,10
2023-01-13,11,-17,0,6
2023-01-14,13,3,0,6
2023-01-15,24,7,1,14
2023-01-16,15,4,1,8
2023-01-17,22,6,1,9
2023-01-18,22,7,1,12
2023-01-19,15,6,0,5
2023-01-20,13,3,0,7
2023-01-21,19,4,0,9
2023-01-22,33,4,0,15
2023-01-23,29,5,0,15
2023-01-24,19,4,1,11
2023-01-25,15,3,1,7
2023-01-26,17,3,0,8
2023-01-27,12,2,0,7
2023-01-28,11,1,0,7
2023-01-29,26,3,0,9
2023-01-30,12,6,1,8
2023-01-31,9,4,1,5
2023-02-01,23,8,1,11
