date,added,ratings,reviews,to-read
2022-08-16,6,1,1,2
2022-08-17,11,3,0,6
2022-08-18,13,5,0,6
2022-08-19,6,1,0,4
2022-08-20,13,3,0,3
2022-08-21,11,7,0,5
2022-08-22,13,6,1,2
2022-08-23,17,4,0,8
2022-08-24,11,5,0,5
2022-08-25,6,1,0,3
2022-08-26,12,1,0,6
2022-08-27,6,3,0,2
2022-08-28,18,2,0,14
2022-08-29,6,0,0,4
2022-08-30,10,4,0,3
2022-08-31,13,5,1,7
2022-09-01,5,-1,0,3
2022-09-02,12,4,0,7
2022-09-03,11,3,1,2
2022-09-04,12,1,0,6
2022-09-05,5,0,0,3
2022-09-06,12,3,0,5
2022-09-07,9,4,0,6
2022-09-08,14,3,0,9
2022-09-09,5,1,0,2
2022-09-10,15,2,0,7
2022-09-11,2,7,0,1
2022-09-12,8,0,0,5
2022-09-13,8,2,0,4
2022-09-14,5,0,0,3
2022-09-15,8,5,1,4
2022-09-16,13,4,1,4
2022-09-17,4,1,0,2
2022-09-18,8,3,1,5
2022-09-19,21,1,0,10
2022-09-20,5,1,0,3
2022-09-21,4,0,0,3
2022-09-22,6,3,0,5
2022-09-23,6,-17,0,3
2022-09-24,8,1,1,4
2022-09-25,9,2,0,4
2022-09-26,8,-4,0,3
2022-09-27,8,-8,1,3
2022-09-28,6,-26,0,4
2022-09-29,5,-26,0,3
2022-09-30,4,1,0,3
2022-10-01,6,1,0,3
2022-10-02,10,-1,0,7
2022-10-03,6,1,0,4
2022-10-04,12,1,0,10
2022-10-05,5,2,0,2
2022-10-06,9,1,0,4
2022-10-07,5,1,0,3
2022-10-08,5,2,0,3
2022-10-09,8,-2,0,4
2022-10-10,2,1,0,1
2022-10-11,4,-1,0,2
2022-10-12,4,-1,0,2
2022-10-13,9,1,0,7
2022-10-14,8,-6,0,6
2022-10-15,5,0,0,2
2022-10-16,10,-11,0,7
2022-10-17,9,-17,0,6
2022-10-18,8,1,0,5
2022-10-19,9,3,1,2
2022-10-20,8,2,0,3
2022-10-21,16,-5,0,7
2022-10-22,5,1,1,3
2022-10-23,5,-33,0,3
2022-10-24,6,-23,0,1
2022-10-25,4,-5,0,2
2022-10-26,6,1,0,4
2022-10-27,7,0,0,5
2022-10-28,12,1,0,5
2022-10-29,6,1,0,3
2022-10-30,10,0,0,4
2022-10-31,3,-7,0,2
2022-11-01,8,1,0,2
2022-11-02,9,4,0,3
2022-11-03,12,-3,0,6
2022-11-04,10,1,0,6
2022-11-05,10,3,1,5
2022-11-06,9,1,0,4
2022-11-07,7,2,0,6
2022-11-08,5,1,0,1
2022-11-09,5,4,0,3
2022-11-10,5,0,0,3
2022-11-11,7,4,1,2
2022-11-12,3,1,1,2
2022-11-13,5,0,0,2
2022-11-14,8,2,2,3
2022-11-15,6,1,0,3
2022-11-16,6,0,0,6
2022-11-17,2,2,0,1
2022-11-18,3,0,0,2
2022-11-19,6,0,0,4
2022-11-20,6,0,0,4
2022-11-21,6,2,0,4
2022-11-22,9,1,0,3
2022-11-23,6,3,0,3
2022-11-24,12,4,0,6
2022-11-25,14,4,0,8
2022-11-26,13,3,0,5
2022-11-27,7,1,0,3
2022-11-28,4,1,0,2
2022-11-29,8,1,0,5
2022-11-30,8,3,0,2
2022-12-01,9,4,0,2
2022-12-02,5,3,0,0
2022-12-03,10,3,1,4
2022-12-04,6,2,0,5
2022-12-05,6,1,0,4
2022-12-06,7,2,0,5
2022-12-07,9,1,0,7
2022-12-08,6,0,0,5
2022-12-09,5,2,0,3
2022-12-10,8,0,0,7
2022-12-11,8,1,0,4
2022-12-12,7,0,0,3
2022-12-13,15,3,0,6
2022-12-14,10,3,0,4
2022-12-15,6,1,0,4
2022-12-16,5,2,0,3
2022-12-17,11,3,0,8
2022-12-18,5,-1,0,2
2022-12-19,2,0,0,1
2022-12-20,5,2,0,2
2022-12-21,8,2,0,4
2022-12-22,4,2,1,3
2022-12-23,11,1,2,6
2022-12-24,10,0,0,8
2022-12-25,6,1,0,4
2022-12-26,14,4,4,4
2022-12-27,9,4,0,5
2022-12-28,7,2,0,3
2022-12-29,8,1,0,4
2022-12-30,15,2,0,5
2022-12-31,22,3,0,15
2023-01-01,5,1,0,5
2023-01-02,17,1,0,10
2023-01-03,14,3,0,8
2023-01-04,6,1,0,4
2023-01-05,14,3,0,5
2023-01-06,12,3,0,6
2023-01-07,14,5,0,4
2023-01-08,10,2,0,3
2023-01-09,16,3,0,9
2023-01-10,6,1,0,4
2023-01-11,10,6,0,2
2023-01-12,11,-7,0,6
2023-01-13,8,-14,0,1
2023-01-14,7,0,0,2
2023-01-15,11,5,1,3
2023-01-16,10,1,0,5
2023-01-17,11,3,0,5
2023-01-18,12,3,0,8
2023-01-19,8,1,0,6
2023-01-20,6,3,0,4
2023-01-21,12,6,0,8
2023-01-22,12,1,0,6
2023-01-23,7,2,1,5
2023-01-24,10,0,0,5
2023-01-25,15,7,0,9
2023-01-26,10,3,0,5
2023-01-27,4,2,0,2
2023-01-28,12,2,0,6
2023-01-29,9,4,0,5
2023-01-30,9,3,0,6
2023-01-31,4,1,0,4
2023-02-01,8,1,0,4
