Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
49091311,A Secret for a Secret,Giorgia Reads,944,1719,4,"May 15, 2020"," 4.5 Stars  This was simply beautiful. I can confidently say it was the best out of the series so far. While there is nothing extraordinary about it, everything just fit together so peacefully. King and Queenie call each other the calm and the chaos respectively, and I find that description so beautifully fitting. They are truly good for each other in an opposites attract kind of way, but it goes way beyond that as well. Usually opposites attract but they also burn through the novelty and excitement of it all pretty quickly. I loved that their differences were discussed in a way that didn’t gloss over them by preaching the whole “love will conquer it all” mantra. They discuss their differences, plan on how to deal and accept them while respecting each other’s needs and wants. The way anyone would describe King would probably be “perfect”. They wouldn’t be wrong, except, no one is perfect. He needed passion and healthy recklessness in his life and Queenie needed stability, support and understanding. To be honest I’ve never read of a more balanced couple. Reading this made me feel good, peaceful even. I realised that the writer reached a good balance where this was able to be a safe, sweet story that did not fall in the trap of being boring in the slightest. Apart from the story itself I loved reading about the other characters and their kids, especially Violet’s twins, one of whom will develop a sweet relationship with Queenie. I also liked reading the conversations about anxiety in children and ways of dealing and helping through art. This book was exactly what I needed at the moment and it was a great addition to the series. King, is the kind of hero we can say we love and want without adding “but not in real life” at the end. ",164,20
49091311,A Secret for a Secret,Christy,"3,706",31500,5,"December 24, 2022","5 stars
  
I’ve read a lot of Helena Hunting’s books and as much as I’ve enjoyed them, I was surprised to find that I hadn’t given any of them a full 5 stars… until now. A Secret for a Secret was such a great read for me. It was just what I needed and by far my favorite book of hers. Ryan Kingston is a NHL goalie and the good guy of hockey. He is respectful, kind, follows the rules and always makes the right calls. One night, he’s out and drinks a little too much, totally not his normal and has his first one-night stand. And six weeks later… he finds out his one night stand, Queenie, is the general manager’s daughter. Yikes. Queenie is not quite the rule follower that King is. She’s a bit wild and impulsive. She’s trying to become a little less irresponsible and is working for her dad. Seeing King turns her world upside down. Especially when the one rule her dad gave her was to stay away from the hockey players. King and Queenie love spending time together and decide being friends is better than nothing at all. Until they can no longer deny the attraction and connection they share. They completely balance one another out and make the best friends to lovers couple.
  
    She’s a tornado, and half the time I don't know what to do with her, but still want to get caught up in her vortex.
  
 We all know Helena Hunting does an amazing job writing steamy scenes and alpha athletes, but who knew she could write the perfect, straight-laced, sweet, and most romantic hero? I fell so hard for Ryan Kingston and as much as I loved Queenie, King was the best part of this book for me. I loved watching Queenie finally find her King. If you’re looking for a sweet, funny, and steamy romance with a hero that will sweep you off your feet, look no further. This is Helena Hunting at her best, and I can guarantee A Secret for a Secret will be on my 2020 favorites list.
  
    I feel like I’ve finally found my person. The one who won’t try to tame my chaos but will let me live in it and help me balance my impulsiveness with stability. He’s yin and I’m yang. He’s sugar and I’m salt.
  
",154,16
49091311,A Secret for a Secret,CristiinaReads❀,574,3280,5,"December 4, 2020","
  An emotional and compelling romance, filled with many secrets to be revealed and cherished by two individuals that learn how to fall in love with each other...
So this third installment, has officially stolen my heart and has claimed it! That's right, Kingston... my sexy and very romantic Ryan Kingston has taken a toll of grasping my beating heart and make it beat much faster for all the ways he expresses his admiration towards Queenie. In the little things he does, his blushes, his tenderness, his way of being is what draws you in to him.Though the title does indeed say it all. Sharing one secret with another is what this story revolves itself around. But once they both open up to each other, breaking down those walls in which reveal the truth of Quennie's past as well as prepare and build a future with Kingston. Everything about Queenie is what truly draws Kingston to wanting more of her, not just because she makes him act like a totally different person when they are intimate involuntarily, but also because her true identity is what makes him fall even deeper in love with her;
  
     ""She's a tornado, and half the time I don't know what to do with her, but still want to get caught up in her vortex..."" 
  
When obstacles are in the way, Kingston knows to not give up on Queenie because he also knows that there is no going back once he has a claim on her. And Queenie knows that being with Ryan is something she cannot pass out on since her heart is the one who takes over for her and her love for him;
  
     ""He's the calm to my storm.My still lake at dawn.My king..."" 
  
There is no denying at all that Ryan will forever own my heart. I am not sure if this is the last installment in the series, though there are many other hockey players in which have been mentioned that I would love to read a book of. We just have to be patient and see what else Helena has up her sleeves...ARC kindly provided by Montlake Romance, in exchange for an honest review...Follow Me On:Instagram ❁ Twitter",128,16
49091311,A Secret for a Secret,Madita,460,16200,3,"September 5, 2022",It just made me cringe and the entire milk thing????,65,N/A
49091311,A Secret for a Secret,Lisa (Two Bookish Brits),748,154,5,"May 12, 2020","Once again Helena has managed to do what she does best and created a masterpiece, a man you can’t help but fall for and a heroine you instantly love. A Secret for a Secret is the third book in the All In series and can be read as a stand-alone but I’d recommend reading them in order to get the backstory of other character in the book. When we were first introduced to Kingston I was intrigued. He’s kind of like Darren (from the Pucked series) in ways, he keeps himself to himself. He’s super quiet and at times quite nervous. King is loving and kind and fierce at times when it comes to those he loves. It’s been quite enjoyable reading this book and unraveling the parcel that is Kingston. Queenie, oh this woman has been through a lot. She has mommy issues and doesn’t feel like she’s good at anything and it truly hurts to see her feel like that. We get to see just how talented this woman is throughout the book. She’s determined to be independent and not rely on anyone. She’s an intriguing character and I just love her so much. These two together are polar opposites. He’s neat, likes everything in place and she’s not. She’s a storm, a chaotic storm and leaves everything, everywhere. But put those two together and they work. It’s so much fun to see. Helena truly delivered on this one. King and Queenie are two characters that have embedded themselves on my heart and I’ll never forget them. They’re perfectly imperfect and it suits them so well. I’ve been a fan of Helena’s for so long and she never ever fails to bring us a book that’ll hook us in and keep us addicted. I truly can’t wait to see what comes from her in the future. A Secret for a Secret is a forbidden, sports romance that’s super sexy and adorable all mixed together. It’s fun, emotional and filled with flirty moments. It’s a book that you won’t want to put down until you hit the last page. ARC received in exchange for an honest review",61,N/A
49091311,A Secret for a Secret,Melanie (mells_view),"1,680",310,4,"May 12, 2020","I’m falling in love with her chaos.I am an absolute sucker for a hero who loves a heroine who doesn’t fully love herself. I live for a hero who appreciates nearly every single thing about a heroine that she considers a flaw about herself. Nothing gives me the feels more than a hero who knows to give a heroine the space to grow at her own pace, and supports her while she does it. Ryan Kingston is all of that, and Queenie is the perfect passionate storm that blows into the calm that is his life.Queenie and King start as one night of unexpected fun when they both needed it. When they are pushed back together as sort of co-workers, Queenie being King’s bosses daughter, they decide it’s best to keep it platonic. *insert side eye* But I think we all know how that song and dance goes. This one was just so dang good. Of course there is some silly drama, and some laugh out loud moments, this IS a Helena Hunting novel, but at its core this is two opposite souls clicking into place.A Secret for A Secret is a yin and yang love story that will make you swoon hard and feel all of the feels. Loved it and loved Queenie and King.Available now!!*ARC",36,1 comment
49091311,A Secret for a Secret,Ꮗ€♫◗☿ ❤️ ilikebooksbest.com ❤️,"1,699",1660,5,"August 25, 2022","“He’s the calm and I’m the storm”The following ratings are out of 5:Narration: 🎙🎙🎙🎙Romance: 💚🖤💙❤️💜Heat: 🔥🔥🔥🔥Story/Plot: 📕📗📙📘📔World building: 🌏🌍🌎🌍🌏Character development: 😢🙃🙂😚🥰The heroine: Queenie - she is the daughter of the General Manager of the NHL Seattle expansion team. Her mother left when she was a baby and she was raised by her father alone, she tends to be a rule breaker and gets into trouble which her father usually has to help her get out of. She was on the verge of getting a psychology degree when her mother told her she would make a horrible psychologist, so she quit school and has since had and got fired from a string of waitress jobs. The Hero: Ryan Kingston - He is a former boy scout, drinks milk with every meal, wears khaki’s and polo shirts, drives below the speed limit and is an all around good guy. He is also a hot as puck NHL Hockey Goalie. The Story: On the night King finds out that his sister is really his mother, and Queenie loses yet another service job, they meet in a bar, get drunk and have a one-night stand. Six weeks later, when the season begins, King finds out that Queenie is not only the new assistant to his team’s general manager, but his daughter as well. Helena Hunting does hockey romance like nobody else and I love all of them. I recently read Little Lies which is a spinoff series from this and the Pucked series and I loved to see Lavender, River and Kodiak from that book as little kids in this one. Queenie from this book also appeared in Little Lies, so it was nice to see her before she had her life together. The book was told in dual points of view via dual narration. Narration was done by Stella Bloom and Jason Clarke who are two of my favorites. Jason has a deep sexy voice and Stella has a clear voice and she is great at portraying emotion through her voice. Blog|Goodreads|Facebook|Instagram|Twitter|BookBub",35,N/A
49091311,A Secret for a Secret,Patty ~ Wrapped Up In Reading Book Blog,"1,260",9898,4,"April 8, 2020","*****FOUR STARS*****{ARC Generously Provided by Author}He’s the calm to my storm. My still lake at dawn. My king.Ryan Kingston is the milk drinking, khaki & polo shirt wearing, straight-laced goalie of Seattle’s top-ranking NHL team. He quickly falls for the one woman who is his complete opposite and totally forbidden. Queenie Masterson is the definition of chaos. She’s also the GM’s only daughter. Their story is incredibly steamy while light on angst and Helena Hunting’s signature comedic sense of humor. King and Queenie fall into a passionate romance and are a perfect match. It’s only King’s crazy family and a secret from Queenie’s past that post a threat to their relationship. While I found the story to be entertaining, I wished for the usual laugh-out-loud moments that I am used to from this author.Here are my overall ratings:Hero: 4Heroine: 4Plot: 4Angst: 3.5Steam: 5Chemistry Between Hero & Heroine: 4.5”A SECRET FOR A SECRET” releases on May 12th.Amazon US → https://amzn.to/33ks3ioCA → https://amzn.to/2RX9EWSUK → https://amzn.to/38LVU7fAU → https://amzn.to/38LOwsw",33,N/A
49091311,A Secret for a Secret,NMmomof4,"1,479",3483,4,"October 23, 2020"," 3.5 StarsOverall Opinion: This was cute. I had liked the H in the previous book in the series, so I was happy to get him again and that he got a HEA. I like the opposites attract type stories and we definitely get that here. I did, however, struggle with the h after a while. I like my hs confident and where they are still strong in their vulnerability. I understand that her mom messed her up, but it kind of bugged me that she didn’t actively try to work on that damage — especially since she was a psych major. That might just be my own psych degree talking and some projecting...but it bugged me. Brief Summary of the Storyline:  This is Queenie and Ryan’s story. They meet when both of them are in a bad place in a bar and have a (kind of) ONS. They then are both shocked when they find out that Queenie has started a new job as an assistant to her dad who is the General Manager for Ryan’s professional hockey team. They become friends but then cannot deny the attraction to each other they still feel after their night together and end up giving in. There is some ex and family drama and some sexy times...and they get a HEA ending.Point Of View (POV): This alternated between Queenie and Ryan’s POV.Overall Pace of Story:  Good. I never skimmed and I thought it flowed well.Instalove: NoH (Hero) rating: 4.5 stars. Ryan. I really liked him. He was straight laced (except in the bedroom) and he’s super sweet and loyal. And when he called her “my queen” it made me swoon a little 😜h (heroine) rating: 3 stars. Queenie. I liked her but then I struggled with her. She had low self esteem and it got old.Sadness level: Low, no tissues neededPush/Pull: NoHeat level: Hot. They have some hot tension, chemistry, and scenes -- but not so much it takes away from the story.Descriptive sex: YesOW (Other Woman)/OM (Other Man) drama: Yes The H’s ex is around and his family is trying to get them back together and the h’s ex is a new member of the team and she find out that she is still married to him and not divorced like she thought they were after a impulsive wedding when she was 18Sex scene with OW or OM: NoCheating:  NoSeparation: No Possible Triggers: Yes Verbal/emotional abuse by mother (off page) and h was (unknowingly still) married and divorced OM (on page)Closure:  This had a cute epilogue with what I would call a HEA ending they’re married with a son and she’s pregnantSafety: This one should be Safe for most safety gang readers- Does Not have cheating- Does Not have a descriptive sex scene with OW/OM-  Does Not have the h or H pushing away-  Does Not have a separation between the h and H-  Does Not have abuse- Does  have a HEA ending",32,N/A
49091311,A Secret for a Secret,✰ Bianca ✰ BJ's Book Blog ✰ ,"2,120",1176,5,"May 17, 2021"," Queenie and King.There was this very sparky one night stand six weeks ago and now they find out that she's working for the manager of the hockey team he's playing for. And not only that, but said manager is her dad!Her dad quickly initiated a no-dating-the-players policy. But they can be friends, right?And maybe her dad won't be too mad if they asked nicely if they could date??And his crazy family and her secret past won't become a problem soon, right?? LOL!LET THE FUN TIMES BEGIN ...══════════════════Adorable!Another beautiful hockey romance!Queenie and Ryan/King are soo adorable and funny and awkward. Especially sweetheart King. He's soo boy scouty and just so ... good!I absolutely adored those two. It was so super adorable and hilarious and crazy to watch them fight for their happily ever after!I loved that we didn't get this typical misunderstanding - you know the one? The one romances almost always use - no idea why - where we fight and break up and it could've all been cleared up with just one conversation or whatever - ugh - I hate those! ☺I just loved reading this ... and seeing all the people again!Can't wait for more - I wouldn't mind reading Lavender and Kody's love story one day! ☺A SECRET FOR A SECRET was such an adorable + funny Hockey Romance!!! I just loved it!! Run to your nearest amazon for your own King - he'll be sold out in no time - and this one is MINE!
  
💜
  
💜
  

  

  

  
 
  
 
  
 
  
 
  
",31,N/A
