Title,URL
Moneyball: The Art of Winning an Unfair Game,https://www.goodreads.com/book/show/1301.Moneyball
"The Deal (Off-Campus, #1)",https://www.goodreads.com/book/show/24920901-the-deal
L'infinito tra me e te,https://www.goodreads.com/book/show/82368880-l-infinito-tra-me-e-te
Kulti,https://www.goodreads.com/book/show/24044596-kulti
"The Mistake (Off-Campus, #2)",https://www.goodreads.com/book/show/25564665-the-mistake
"The Score (Off-Campus, #3)",https://www.goodreads.com/book/show/27252717-the-score
From Lukov with Love,https://www.goodreads.com/book/show/37683751-from-lukov-with-love
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",https://www.goodreads.com/book/show/6289283-born-to-run
"Pucked (Pucked, #1)",https://www.goodreads.com/book/show/24504274-pucked
"Him (Him, #1)",https://www.goodreads.com/book/show/25686927-him
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://www.goodreads.com/book/show/16158542-the-boys-in-the-boat
The Blind Side,https://www.goodreads.com/book/show/817791.The_Blind_Side
"Friday Night Lights: A Town, a Team, and a Dream",https://www.goodreads.com/book/show/85431.Friday_Night_Lights
"The Goal (Off-Campus, #4)",https://www.goodreads.com/book/show/32315591-the-goal
"The Hook Up (Game On, #1)",https://www.goodreads.com/book/show/22611920-the-hook-up
Open,https://www.goodreads.com/book/show/6480781-open
The Baller,https://www.goodreads.com/book/show/28597587-the-baller
"The Chase (Briar U, #1)",https://www.goodreads.com/book/show/34851664-the-chase
The Crossover,https://www.goodreads.com/book/show/18263725-the-crossover
"Alex (Cold Fury Hockey, #1)",https://www.goodreads.com/book/show/21794306-alex
"The Risk (Briar U, #2)",https://www.goodreads.com/book/show/41032121-the-risk
"The Friend Zone (Game On, #2)",https://www.goodreads.com/book/show/23122175-the-friend-zone
The Book of Basketball: The NBA According to The Sports Guy,https://www.goodreads.com/book/show/4452257-the-book-of-basketball
Ball Four,https://www.goodreads.com/book/show/762563.Ball_Four
"Beartown (Beartown, #1)",https://www.goodreads.com/book/show/33413128-beartown
"The Perfect Play (Play by Play, #1)",https://www.goodreads.com/book/show/8341567-the-perfect-play
"The Game Plan (Game On, #3)",https://www.goodreads.com/book/show/23204215-the-game-plan
"Us (Him, #2)",https://www.goodreads.com/book/show/29475332-us
"The Foxhole Court (All for the Game, #1)",https://www.goodreads.com/book/show/17259690-the-foxhole-court
"Ghost (Track, #1)",https://www.goodreads.com/book/show/28954126-ghost
The Art of Fielding,https://www.goodreads.com/book/show/10996342-the-art-of-fielding
"It Had to Be You (Chicago Stars, #1)",https://www.goodreads.com/book/show/73070.It_Had_to_Be_You
"Long Shot (Hoops, #1)",https://www.goodreads.com/book/show/39336718-long-shot
Scoring Wilder,https://www.goodreads.com/book/show/21843117-scoring-wilder
Seabiscuit: An American Legend,https://www.goodreads.com/book/show/110737.Seabiscuit
Enemies,https://www.goodreads.com/book/show/49047293-enemies
"Good Boy (WAGs, #1)",https://www.goodreads.com/book/show/30747137-good-boy
"Icebreaker (UCMH, #1)",https://www.goodreads.com/book/show/61767292-icebreaker
"Taking Shots (Assassins, #1)",https://www.goodreads.com/book/show/17504320-taking-shots
The Boys of Summer,https://www.goodreads.com/book/show/137787.The_Boys_of_Summer
"The Year We Fell Down (The Ivy Years, #1)",https://www.goodreads.com/book/show/46019039-the-year-we-fell-down
"Real (Real, #1)",https://www.goodreads.com/book/show/17617277-real
"Sacked (Gridiron, #1)",https://www.goodreads.com/book/show/25904855-sacked
"Sweet Home (Sweet Home, #1)",https://www.goodreads.com/book/show/18105011-sweet-home
"The Hooker and the Hermit (Rugby, #1)",https://www.goodreads.com/book/show/23285659-the-hooker-and-the-hermit
"The Understatement of the Year (The Ivy Years, #3)",https://www.goodreads.com/book/show/46019064-the-understatement-of-the-year
"Check, Please! Book 1: #Hockey (Check, Please!, #1-2)",https://www.goodreads.com/book/show/37534577-check-please-book-1
