date,added,ratings,reviews,to-read
2022-08-16,43,14,1,18
2022-08-17,38,22,0,10
2022-08-18,35,8,1,18
2022-08-19,43,12,0,17
2022-08-20,34,15,0,15
2022-08-21,56,11,1,24
2022-08-22,64,19,1,25
2022-08-23,33,15,2,8
2022-08-24,45,19,2,10
2022-08-25,33,14,1,19
2022-08-26,40,9,1,16
2022-08-27,43,16,1,11
2022-08-28,45,15,0,9
2022-08-29,41,12,0,20
2022-08-30,35,24,0,13
2022-08-31,47,10,0,19
2022-09-01,46,18,2,16
2022-09-02,46,13,1,17
2022-09-03,51,11,0,18
2022-09-04,39,12,0,18
2022-09-05,26,7,0,10
2022-09-06,53,12,0,27
2022-09-07,47,11,3,22
2022-09-08,43,21,1,9
2022-09-09,52,10,0,11
2022-09-10,39,10,0,14
2022-09-11,38,15,1,16
2022-09-12,55,14,0,25
2022-09-13,44,18,1,16
2022-09-14,26,14,1,11
2022-09-15,27,16,2,10
2022-09-16,31,15,0,11
2022-09-17,37,15,3,12
2022-09-18,30,10,0,7
2022-09-19,39,13,-1,12
2022-09-20,37,16,0,20
2022-09-21,29,20,0,16
2022-09-22,38,14,0,20
2022-09-23,35,8,2,12
2022-09-24,31,10,0,12
2022-09-25,37,15,0,18
2022-09-26,30,12,0,8
2022-09-27,30,15,1,8
2022-09-28,39,11,0,15
2022-09-29,43,13,1,13
2022-09-30,38,17,1,8
2022-10-01,41,9,2,11
2022-10-02,52,21,4,13
2022-10-03,42,18,0,11
2022-10-04,56,19,2,18
2022-10-05,17,12,2,7
2022-10-06,36,11,1,15
2022-10-07,43,15,1,11
2022-10-08,43,19,1,14
2022-10-09,49,10,0,18
2022-10-10,50,15,2,17
2022-10-11,38,10,1,16
2022-10-12,53,11,1,28
2022-10-13,28,13,2,13
2022-10-14,41,10,0,15
2022-10-15,37,7,1,19
2022-10-16,41,7,-1,18
2022-10-17,42,11,0,16
2022-10-18,43,13,1,10
2022-10-19,40,15,2,15
2022-10-20,36,10,1,14
2022-10-21,35,12,0,10
2022-10-22,27,14,1,8
2022-10-23,43,10,0,11
2022-10-24,41,13,0,18
2022-10-25,40,10,2,15
2022-10-26,27,16,1,3
2022-10-27,48,17,0,27
2022-10-28,86,11,2,52
2022-10-29,54,14,0,28
2022-10-30,45,19,4,23
2022-10-31,52,15,0,26
2022-11-01,42,11,1,16
2022-11-02,57,16,0,26
2022-11-03,53,12,1,26
2022-11-04,50,11,0,19
2022-11-05,49,22,2,21
2022-11-06,76,13,2,40
2022-11-07,66,14,0,35
2022-11-08,71,7,0,38
2022-11-09,41,20,2,14
2022-11-10,39,17,0,11
2022-11-11,39,9,0,9
2022-11-12,48,20,1,11
2022-11-13,36,11,-1,10
2022-11-14,50,11,1,18
2022-11-15,36,8,1,8
2022-11-16,42,13,0,14
2022-11-17,27,11,-1,11
2022-11-18,34,12,2,10
2022-11-19,40,13,2,25
2022-11-20,45,12,2,7
2022-11-21,38,17,3,14
2022-11-22,37,11,4,11
2022-11-23,43,18,3,13
2022-11-24,39,6,0,8
2022-11-25,35,13,2,10
2022-11-26,45,14,1,15
2022-11-27,52,13,3,17
2022-11-28,55,14,2,19
2022-11-29,32,16,0,14
2022-11-30,37,16,1,14
2022-12-01,37,20,0,10
2022-12-02,27,8,0,10
2022-12-03,33,4,1,16
2022-12-04,41,18,2,16
2022-12-05,39,11,0,12
2022-12-06,34,15,2,9
2022-12-07,23,8,0,14
2022-12-08,36,13,0,15
2022-12-09,33,7,2,14
2022-12-10,32,11,1,9
2022-12-11,49,15,0,9
2022-12-12,40,22,0,16
2022-12-13,39,14,2,15
2022-12-14,28,6,1,6
2022-12-15,35,8,1,13
2022-12-16,44,15,0,9
2022-12-17,40,13,1,10
2022-12-18,37,14,1,14
2022-12-19,40,9,1,15
2022-12-20,26,16,2,9
2022-12-21,42,17,1,12
2022-12-22,52,15,0,16
2022-12-23,46,12,0,19
2022-12-24,21,10,1,8
2022-12-25,31,11,0,13
2022-12-26,41,8,1,14
2022-12-27,61,29,1,16
2022-12-28,56,19,1,16
2022-12-29,56,18,1,30
2022-12-30,69,18,1,24
2022-12-31,72,17,3,24
2023-01-01,106,22,1,30
2023-01-02,100,38,4,40
2023-01-03,90,27,5,34
2023-01-04,63,20,1,31
2023-01-05,67,19,1,25
2023-01-06,64,27,2,21
2023-01-07,71,24,1,32
2023-01-08,66,14,2,34
2023-01-09,54,16,0,15
2023-01-10,60,14,2,20
2023-01-11,45,18,1,23
2023-01-12,58,17,2,25
2023-01-13,60,14,1,18
2023-01-14,63,20,2,24
2023-01-15,69,28,3,30
2023-01-16,82,18,2,36
2023-01-17,62,24,0,30
2023-01-18,73,18,2,26
2023-01-19,59,18,2,31
2023-01-20,44,28,4,20
2023-01-21,78,22,1,34
2023-01-22,85,20,0,37
2023-01-23,74,37,2,22
2023-01-24,89,19,0,40
2023-01-25,78,21,1,35
2023-01-26,76,19,1,25
2023-01-27,65,16,3,25
2023-01-28,71,18,2,33
2023-01-29,90,16,3,28
2023-01-30,55,33,3,20
2023-01-31,57,28,3,29
2023-02-01,52,20,3,20
