date,added,ratings,reviews,to-read
2022-08-16,57,23,2,34
2022-08-17,73,20,2,32
2022-08-18,63,18,2,25
2022-08-19,52,9,2,24
2022-08-20,82,18,0,38
2022-08-21,84,27,3,40
2022-08-22,85,22,3,34
2022-08-23,64,25,0,25
2022-08-24,70,23,2,26
2022-08-25,53,19,0,19
2022-08-26,57,19,1,23
2022-08-27,57,15,0,14
2022-08-28,80,29,3,28
2022-08-29,60,14,2,31
2022-08-30,64,24,3,33
2022-08-31,70,24,2,24
2022-09-01,61,19,1,26
2022-09-02,72,19,1,24
2022-09-03,61,18,1,19
2022-09-04,84,26,1,30
2022-09-05,45,18,0,13
2022-09-06,73,29,2,25
2022-09-07,92,27,2,41
2022-09-08,80,31,4,28
2022-09-09,69,23,2,29
2022-09-10,76,19,0,34
2022-09-11,70,28,0,35
2022-09-12,86,23,3,36
2022-09-13,73,31,2,24
2022-09-14,68,23,1,18
2022-09-15,61,24,2,26
2022-09-16,56,20,0,18
2022-09-17,71,18,1,28
2022-09-18,76,24,2,34
2022-09-19,67,25,0,18
2022-09-20,48,27,1,25
2022-09-21,54,24,1,28
2022-09-22,47,22,1,17
2022-09-23,57,20,3,17
2022-09-24,57,25,1,19
2022-09-25,57,16,0,26
2022-09-26,50,20,1,19
2022-09-27,74,17,2,21
2022-09-28,63,17,2,23
2022-09-29,55,25,3,15
2022-09-30,69,25,3,19
2022-10-01,60,16,2,18
2022-10-02,75,30,4,31
2022-10-03,56,18,1,19
2022-10-04,63,17,4,28
2022-10-05,36,20,1,18
2022-10-06,66,18,3,30
2022-10-07,46,12,1,15
2022-10-08,61,15,1,21
2022-10-09,73,24,2,33
2022-10-10,74,17,1,25
2022-10-11,64,18,3,20
2022-10-12,68,17,0,34
2022-10-13,31,13,0,18
2022-10-14,53,17,2,21
2022-10-15,58,14,2,24
2022-10-16,63,15,2,31
2022-10-17,67,13,0,24
2022-10-18,58,19,2,27
2022-10-19,47,16,2,16
2022-10-20,43,12,0,14
2022-10-21,45,18,4,14
2022-10-22,56,12,2,26
2022-10-23,59,18,1,17
2022-10-24,57,21,2,23
2022-10-25,47,26,3,24
2022-10-26,45,13,1,18
2022-10-27,51,20,0,18
2022-10-28,63,18,0,29
2022-10-29,58,17,1,24
2022-10-30,63,20,4,22
2022-10-31,45,16,1,20
2022-11-01,65,19,3,24
2022-11-02,69,19,0,26
2022-11-03,51,15,1,22
2022-11-04,40,13,1,13
2022-11-05,44,14,0,21
2022-11-06,62,9,0,23
2022-11-07,55,22,2,20
2022-11-08,69,14,0,34
2022-11-09,60,11,1,27
2022-11-10,37,17,5,14
2022-11-11,66,17,2,28
2022-11-12,69,16,1,30
2022-11-13,81,25,3,25
2022-11-14,78,22,2,29
2022-11-15,98,18,1,43
2022-11-16,86,32,1,32
2022-11-17,63,24,2,33
2022-11-18,67,20,2,30
2022-11-19,97,20,0,48
2022-11-20,86,26,6,27
2022-11-21,71,37,3,39
2022-11-22,84,28,2,34
2022-11-23,73,22,5,34
2022-11-24,78,13,3,24
2022-11-25,70,11,-1,26
2022-11-26,80,27,3,33
2022-11-27,110,26,1,52
2022-11-28,83,28,0,35
2022-11-29,55,21,0,27
2022-11-30,46,14,1,17
2022-12-01,72,21,2,28
2022-12-02,61,26,1,16
2022-12-03,71,13,0,38
2022-12-04,84,19,2,30
2022-12-05,70,25,1,33
2022-12-06,66,18,0,23
2022-12-07,51,27,1,23
2022-12-08,51,18,1,25
2022-12-09,51,18,0,21
2022-12-10,58,16,2,22
2022-12-11,67,17,0,27
2022-12-12,70,28,3,23
2022-12-13,64,21,4,28
2022-12-14,57,16,0,19
2022-12-15,60,14,3,25
2022-12-16,59,17,1,18
2022-12-17,67,14,3,20
2022-12-18,78,20,1,33
2022-12-19,82,17,5,29
2022-12-20,63,30,4,32
2022-12-21,57,19,1,24
2022-12-22,67,21,0,29
2022-12-23,67,22,0,23
2022-12-24,37,16,2,15
2022-12-25,45,16,1,18
2022-12-26,77,27,0,27
2022-12-27,92,27,1,30
2022-12-28,82,24,0,30
2022-12-29,76,30,2,36
2022-12-30,96,33,4,33
2022-12-31,109,38,2,32
2023-01-01,139,29,0,40
2023-01-02,152,70,3,53
2023-01-03,127,44,11,49
2023-01-04,78,32,1,37
2023-01-05,88,28,4,42
2023-01-06,70,18,0,22
2023-01-07,83,24,2,33
2023-01-08,112,22,2,53
2023-01-09,78,24,2,27
2023-01-10,76,23,3,28
2023-01-11,52,27,2,27
2023-01-12,74,20,1,31
2023-01-13,95,18,0,30
2023-01-14,91,32,2,41
2023-01-15,305,24,1,248
2023-01-16,344,47,3,252
2023-01-17,261,42,3,182
2023-01-18,284,45,4,182
2023-01-19,181,46,4,106
2023-01-20,129,44,4,92
2023-01-21,185,33,3,103
2023-01-22,226,48,4,121
2023-01-23,157,39,7,72
2023-01-24,187,44,2,101
2023-01-25,175,34,5,89
2023-01-26,136,37,1,58
2023-01-27,133,23,3,64
2023-01-28,121,27,4,56
2023-01-29,161,36,6,72
2023-01-30,93,37,2,55
2023-01-31,109,32,3,58
2023-02-01,99,33,3,58
