date,added,ratings,reviews,to-read
2022-08-16,34,6,0,16
2022-08-17,32,13,1,12
2022-08-18,30,11,4,12
2022-08-19,44,12,2,16
2022-08-20,32,6,0,15
2022-08-21,29,8,0,17
2022-08-22,37,13,1,22
2022-08-23,37,7,0,13
2022-08-24,33,10,2,14
2022-08-25,30,11,2,17
2022-08-26,36,10,0,13
2022-08-27,23,8,0,7
2022-08-28,32,11,1,11
2022-08-29,36,4,0,16
2022-08-30,15,12,0,7
2022-08-31,30,9,0,11
2022-09-01,22,6,0,15
2022-09-02,35,9,0,12
2022-09-03,43,9,0,14
2022-09-04,24,6,2,6
2022-09-05,35,11,0,9
2022-09-06,42,7,0,19
2022-09-07,32,11,0,13
2022-09-08,25,11,0,9
2022-09-09,38,10,0,9
2022-09-10,34,12,1,10
2022-09-11,28,16,1,14
2022-09-12,41,6,0,24
2022-09-13,39,11,1,16
2022-09-14,21,11,3,5
2022-09-15,25,14,2,6
2022-09-16,20,7,0,9
2022-09-17,21,5,1,9
2022-09-18,32,11,1,10
2022-09-19,30,3,0,12
2022-09-20,26,17,0,11
2022-09-21,28,20,0,11
2022-09-22,20,9,1,6
2022-09-23,26,13,1,10
2022-09-24,22,4,0,9
2022-09-25,31,7,-1,18
2022-09-26,22,17,2,4
2022-09-27,31,12,1,8
2022-09-28,32,4,0,7
2022-09-29,20,10,1,12
2022-09-30,33,22,0,7
2022-10-01,28,9,1,5
2022-10-02,42,17,3,13
2022-10-03,35,15,1,11
2022-10-04,42,13,1,15
2022-10-05,16,5,1,7
2022-10-06,29,7,0,10
2022-10-07,37,17,2,10
2022-10-08,33,16,2,8
2022-10-09,41,13,2,11
2022-10-10,34,16,2,17
2022-10-11,32,6,0,8
2022-10-12,36,11,1,16
2022-10-13,21,5,0,7
2022-10-14,32,11,0,11
2022-10-15,30,6,0,12
2022-10-16,28,3,1,13
2022-10-17,30,9,1,10
2022-10-18,26,2,0,9
2022-10-19,35,8,0,15
2022-10-20,22,4,1,10
2022-10-21,27,5,1,9
2022-10-22,15,6,0,2
2022-10-23,30,9,1,10
2022-10-24,30,6,0,14
2022-10-25,26,7,0,15
2022-10-26,20,9,0,6
2022-10-27,31,12,0,11
2022-10-28,34,14,1,15
2022-10-29,22,9,0,8
2022-10-30,29,14,0,8
2022-10-31,21,7,1,11
2022-11-01,30,10,0,16
2022-11-02,22,6,0,10
2022-11-03,25,9,0,9
2022-11-04,25,10,0,10
2022-11-05,25,12,0,11
2022-11-06,28,7,0,14
2022-11-07,34,14,3,9
2022-11-08,33,7,1,14
2022-11-09,34,7,1,17
2022-11-10,21,6,0,8
2022-11-11,25,7,1,7
2022-11-12,29,8,0,10
2022-11-13,33,11,0,12
2022-11-14,32,9,0,12
2022-11-15,35,12,0,11
2022-11-16,30,10,1,8
2022-11-17,27,5,0,12
2022-11-18,32,7,1,11
2022-11-19,38,9,1,16
2022-11-20,30,17,2,6
2022-11-21,27,4,1,13
2022-11-22,32,11,2,15
2022-11-23,27,12,1,12
2022-11-24,26,5,1,9
2022-11-25,24,5,2,7
2022-11-26,24,8,0,4
2022-11-27,44,9,2,20
2022-11-28,40,9,0,20
2022-11-29,30,15,2,13
2022-11-30,30,6,2,11
2022-12-01,25,14,1,6
2022-12-02,25,7,0,6
2022-12-03,22,6,0,12
2022-12-04,38,9,1,12
2022-12-05,29,9,0,12
2022-12-06,33,14,1,7
2022-12-07,18,13,1,8
2022-12-08,16,9,0,6
2022-12-09,33,8,0,12
2022-12-10,24,4,0,6
2022-12-11,26,7,0,7
2022-12-12,37,10,0,12
2022-12-13,23,3,0,11
2022-12-14,29,8,2,9
2022-12-15,24,7,2,9
2022-12-16,36,8,0,9
2022-12-17,36,14,0,9
2022-12-18,27,7,0,14
2022-12-19,28,1,0,9
2022-12-20,27,9,0,12
2022-12-21,30,17,3,13
2022-12-22,39,8,0,13
2022-12-23,32,4,0,13
2022-12-24,51,6,1,33
2022-12-25,42,13,1,23
2022-12-26,51,11,1,25
2022-12-27,57,19,1,17
2022-12-28,52,15,0,17
2022-12-29,35,10,2,19
2022-12-30,44,11,0,12
2022-12-31,54,13,1,10
2023-01-01,61,15,0,21
2023-01-02,64,21,2,25
2023-01-03,57,11,2,22
2023-01-04,45,21,1,15
2023-01-05,52,17,1,21
2023-01-06,40,14,1,14
2023-01-07,52,14,1,23
2023-01-08,47,14,1,21
2023-01-09,40,11,0,9
2023-01-10,34,10,1,13
2023-01-11,47,15,2,19
2023-01-12,41,7,1,20
2023-01-13,35,8,0,15
2023-01-14,36,10,2,15
2023-01-15,45,13,0,18
2023-01-16,52,11,0,28
2023-01-17,62,15,1,26
2023-01-18,46,15,0,22
2023-01-19,39,9,0,24
2023-01-20,34,18,4,18
2023-01-21,57,14,1,27
2023-01-22,59,10,0,31
2023-01-23,55,14,0,22
2023-01-24,69,20,1,35
2023-01-25,63,17,0,30
2023-01-26,46,9,1,20
2023-01-27,57,13,-1,22
2023-01-28,50,22,2,23
2023-01-29,61,8,1,22
2023-01-30,42,19,2,15
2023-01-31,64,23,2,23
2023-02-01,40,15,1,19
