date,added,ratings,reviews,to-read
2022-08-16,17,2,0,10
2022-08-17,7,7,1,4
2022-08-18,15,2,0,10
2022-08-19,8,2,0,6
2022-08-20,14,3,0,10
2022-08-21,13,3,0,9
2022-08-22,5,2,1,5
2022-08-23,10,1,1,8
2022-08-24,18,2,0,9
2022-08-25,10,-1,0,7
2022-08-26,5,2,1,4
2022-08-27,13,2,0,9
2022-08-28,13,2,0,9
2022-08-29,9,1,0,6
2022-08-30,12,5,1,7
2022-08-31,14,2,0,10
2022-09-01,9,0,0,6
2022-09-02,13,3,0,6
2022-09-03,11,3,0,3
2022-09-04,10,2,0,7
2022-09-05,12,7,0,8
2022-09-06,8,3,1,5
2022-09-07,10,1,1,5
2022-09-08,14,3,1,7
2022-09-09,10,2,0,2
2022-09-10,17,2,0,10
2022-09-11,12,4,2,7
2022-09-12,15,4,0,5
2022-09-13,18,6,1,6
2022-09-14,9,5,2,6
2022-09-15,11,0,0,9
2022-09-16,6,1,0,3
2022-09-17,9,2,0,5
2022-09-18,19,4,0,12
2022-09-19,20,4,0,11
2022-09-20,15,6,0,7
2022-09-21,13,5,0,9
2022-09-22,14,2,0,11
2022-09-23,9,0,0,6
2022-09-24,17,0,0,14
2022-09-25,13,2,0,10
2022-09-26,10,1,0,7
2022-09-27,13,1,0,8
2022-09-28,11,1,0,7
2022-09-29,12,3,0,10
2022-09-30,10,1,0,6
2022-10-01,18,7,0,8
2022-10-02,20,3,0,16
2022-10-03,10,1,0,7
2022-10-04,14,3,0,9
2022-10-05,15,4,0,9
2022-10-06,14,5,0,12
2022-10-07,16,1,1,7
2022-10-08,11,-1,0,9
2022-10-09,20,2,0,14
2022-10-10,13,4,0,7
2022-10-11,16,2,0,12
2022-10-12,14,4,0,6
2022-10-13,11,9,2,8
2022-10-14,16,4,0,8
2022-10-15,21,5,0,14
2022-10-16,15,-1,0,10
2022-10-17,27,4,0,11
2022-10-18,18,3,0,13
2022-10-19,11,4,0,6
2022-10-20,12,3,0,9
2022-10-21,19,0,0,13
2022-10-22,18,6,1,11
2022-10-23,15,3,0,10
2022-10-24,16,2,0,12
2022-10-25,17,2,0,15
2022-10-26,13,3,0,7
2022-10-27,11,3,0,8
2022-10-28,20,1,0,12
2022-10-29,20,2,0,12
2022-10-30,15,5,0,6
2022-10-31,18,3,0,5
2022-11-01,11,1,0,5
2022-11-02,24,5,0,11
2022-11-03,13,4,0,10
2022-11-04,16,3,1,10
2022-11-05,19,3,0,9
2022-11-06,20,3,0,13
2022-11-07,17,3,0,11
2022-11-08,14,0,0,8
2022-11-09,11,4,0,7
2022-11-10,8,2,0,6
2022-11-11,20,3,0,12
2022-11-12,15,4,0,11
2022-11-13,15,2,1,9
2022-11-14,13,2,1,11
2022-11-15,20,1,0,11
2022-11-16,11,1,0,5
2022-11-17,11,5,1,7
2022-11-18,13,2,0,8
2022-11-19,19,4,0,10
2022-11-20,19,3,0,9
2022-11-21,24,7,0,11
2022-11-22,17,7,0,7
2022-11-23,17,8,0,5
2022-11-24,12,1,0,4
2022-11-25,20,5,1,13
2022-11-26,18,1,0,13
2022-11-27,17,2,0,11
2022-11-28,18,-1,0,14
2022-11-29,10,4,1,6
2022-11-30,15,6,2,6
2022-12-01,16,2,0,11
2022-12-02,9,1,0,7
2022-12-03,12,1,1,9
2022-12-04,15,3,1,8
2022-12-05,14,4,0,8
2022-12-06,17,-1,0,15
2022-12-07,12,1,0,9
2022-12-08,20,2,0,9
2022-12-09,19,5,1,13
2022-12-10,15,3,0,9
2022-12-11,14,2,0,8
2022-12-12,4,6,0,3
2022-12-13,16,1,0,9
2022-12-14,15,2,0,5
2022-12-15,14,3,1,7
2022-12-16,11,1,0,7
2022-12-17,17,1,0,12
2022-12-18,18,5,0,6
2022-12-19,14,7,0,12
2022-12-20,9,3,1,8
2022-12-21,15,4,0,10
2022-12-22,6,6,0,1
2022-12-23,17,2,0,8
2022-12-24,8,3,0,5
2022-12-25,16,1,0,11
2022-12-26,17,1,0,11
2022-12-27,16,2,-1,10
2022-12-28,13,1,0,6
2022-12-29,19,1,1,13
2022-12-30,18,4,-1,11
2022-12-31,25,11,1,10
2023-01-01,25,6,0,12
2023-01-02,31,8,0,17
2023-01-03,19,3,0,11
2023-01-04,15,3,0,10
2023-01-05,16,8,1,10
2023-01-06,18,1,0,11
2023-01-07,24,6,0,12
2023-01-08,22,5,0,14
2023-01-09,24,4,0,14
2023-01-10,25,7,0,9
2023-01-11,18,5,1,11
2023-01-12,21,8,0,13
2023-01-13,14,2,0,8
2023-01-14,20,6,0,10
2023-01-15,17,1,0,10
2023-01-16,16,3,0,9
2023-01-17,22,3,0,11
2023-01-18,13,4,0,7
2023-01-19,21,2,0,10
2023-01-20,12,0,0,7
2023-01-21,15,5,0,9
2023-01-22,17,1,1,10
2023-01-23,14,4,0,9
2023-01-24,23,5,0,14
2023-01-25,24,6,1,10
2023-01-26,13,5,0,7
2023-01-27,18,3,0,10
2023-01-28,10,3,0,6
2023-01-29,27,3,0,16
2023-01-30,13,3,0,9
2023-01-31,14,5,1,10
2023-02-01,14,2,0,9
