date,added,ratings,reviews,to-read
2022-08-16,109,33,3,72
2022-08-17,213,38,8,128
2022-08-18,107,41,5,80
2022-08-19,142,48,5,72
2022-08-20,153,33,5,81
2022-08-21,194,40,4,110
2022-08-22,170,43,6,102
2022-08-23,227,29,6,161
2022-08-24,214,41,9,136
2022-08-25,149,38,6,121
2022-08-26,159,32,5,103
2022-08-27,122,26,3,90
2022-08-28,159,34,2,92
2022-08-29,175,51,7,85
2022-08-30,122,37,7,63
2022-08-31,170,42,3,81
2022-09-01,133,41,3,73
2022-09-02,130,36,3,72
2022-09-03,126,33,3,79
2022-09-04,146,31,5,77
2022-09-05,162,44,3,86
2022-09-06,137,24,3,70
2022-09-07,115,26,5,58
2022-09-08,128,33,2,65
2022-09-09,112,31,2,57
2022-09-10,112,25,1,62
2022-09-11,92,33,3,55
2022-09-12,124,38,5,62
2022-09-13,107,24,4,47
2022-09-14,115,36,3,53
2022-09-15,84,39,3,52
2022-09-16,110,23,1,48
2022-09-17,134,37,3,63
2022-09-18,118,26,3,63
2022-09-19,109,23,1,49
2022-09-20,78,24,1,57
2022-09-21,62,32,1,37
2022-09-22,84,36,3,51
2022-09-23,91,28,3,54
2022-09-24,85,25,4,39
2022-09-25,102,32,1,52
2022-09-26,91,25,1,48
2022-09-27,123,23,2,83
2022-09-28,113,10,2,74
2022-09-29,108,20,2,63
2022-09-30,116,28,5,57
2022-10-01,269,34,3,216
2022-10-02,269,31,4,205
2022-10-03,181,39,2,101
2022-10-04,163,28,1,106
2022-10-05,113,35,5,74
2022-10-06,142,46,2,81
2022-10-07,116,28,2,60
2022-10-08,121,31,4,57
2022-10-09,140,41,2,74
2022-10-10,145,44,4,60
2022-10-11,123,38,2,54
2022-10-12,114,29,6,60
2022-10-13,94,22,0,67
2022-10-14,127,38,1,61
2022-10-15,130,29,6,78
2022-10-16,154,30,5,82
2022-10-17,115,29,1,52
2022-10-18,116,35,5,55
2022-10-19,138,32,4,79
2022-10-20,123,37,2,67
2022-10-21,118,23,6,58
2022-10-22,100,21,1,46
2022-10-23,100,29,8,46
2022-10-24,124,27,1,65
2022-10-25,95,29,4,61
2022-10-26,152,29,4,89
2022-10-27,140,30,3,82
2022-10-28,100,26,3,49
2022-10-29,102,28,3,54
2022-10-30,129,28,3,58
2022-10-31,102,29,3,52
2022-11-01,127,20,3,72
2022-11-02,110,30,5,58
2022-11-03,127,32,0,60
2022-11-04,105,27,3,55
2022-11-05,109,30,3,61
2022-11-06,144,30,6,78
2022-11-07,131,39,6,62
2022-11-08,143,28,6,75
2022-11-09,141,30,2,81
2022-11-10,106,32,6,49
2022-11-11,110,33,2,54
2022-11-12,104,32,4,41
2022-11-13,136,33,10,74
2022-11-14,116,36,4,64
2022-11-15,104,28,0,58
2022-11-16,101,25,5,55
2022-11-17,80,24,2,53
2022-11-18,82,25,2,35
2022-11-19,103,30,4,56
2022-11-20,136,24,5,72
2022-11-21,104,26,2,56
2022-11-22,137,29,3,82
2022-11-23,211,29,1,164
2022-11-24,125,23,9,70
2022-11-25,101,25,3,59
2022-11-26,123,25,6,71
2022-11-27,126,32,2,64
2022-11-28,141,44,2,64
2022-11-29,142,44,7,78
2022-11-30,116,25,2,57
2022-12-01,186,29,2,133
2022-12-02,120,32,1,72
2022-12-03,142,27,8,85
2022-12-04,137,25,5,89
2022-12-05,153,36,6,87
2022-12-06,244,34,1,176
2022-12-07,112,25,0,87
2022-12-08,139,35,4,73
2022-12-09,113,25,3,57
2022-12-10,115,31,0,62
2022-12-11,162,29,6,89
2022-12-12,123,36,5,66
2022-12-13,234,24,2,172
2022-12-14,201,41,2,139
2022-12-15,148,31,5,90
2022-12-16,140,34,1,86
2022-12-17,135,23,1,79
2022-12-18,169,42,3,75
2022-12-19,119,36,3,61
2022-12-20,105,33,1,64
2022-12-21,145,42,6,62
2022-12-22,117,41,4,53
2022-12-23,108,27,5,54
2022-12-24,94,30,2,50
2022-12-25,101,21,3,58
2022-12-26,173,33,3,105
2022-12-27,154,26,1,91
2022-12-28,203,46,2,100
2022-12-29,195,53,7,131
2022-12-30,271,64,6,176
2022-12-31,227,61,3,109
2023-01-01,283,35,0,159
2023-01-02,264,72,13,157
2023-01-03,230,61,4,127
2023-01-04,164,44,9,113
2023-01-05,194,38,2,107
2023-01-06,191,47,5,113
2023-01-07,182,47,6,106
2023-01-08,153,46,8,86
2023-01-09,181,49,8,99
2023-01-10,173,40,5,83
2023-01-11,122,29,2,78
2023-01-12,138,35,5,70
2023-01-13,137,46,2,72
2023-01-14,152,40,5,80
2023-01-15,170,34,3,94
2023-01-16,157,32,4,83
2023-01-17,140,33,5,74
2023-01-18,148,46,2,70
2023-01-19,141,27,4,78
2023-01-20,128,31,3,91
2023-01-21,157,27,3,91
2023-01-22,158,35,3,83
2023-01-23,175,38,1,92
2023-01-24,122,39,6,59
2023-01-25,181,37,4,107
2023-01-26,131,36,3,67
2023-01-27,120,18,2,69
2023-01-28,148,37,2,64
2023-01-29,158,50,10,82
2023-01-30,105,38,4,65
2023-01-31,153,38,6,83
2023-02-01,147,37,6,95
