date,added,ratings,reviews,to-read
2022-08-16,8,2,0,5
2022-08-17,6,3,0,4
2022-08-18,12,4,0,5
2022-08-19,7,2,0,4
2022-08-20,7,1,0,5
2022-08-21,5,1,-1,1
2022-08-22,6,3,1,2
2022-08-23,13,5,1,8
2022-08-24,11,5,0,4
2022-08-25,9,2,0,3
2022-08-26,7,4,0,4
2022-08-27,6,0,0,5
2022-08-28,9,0,0,4
2022-08-29,7,2,1,2
2022-08-30,6,2,0,3
2022-08-31,14,1,0,9
2022-09-01,3,1,0,2
2022-09-02,7,5,0,5
2022-09-03,14,2,0,11
2022-09-04,26,3,0,21
2022-09-05,26,2,1,13
2022-09-06,20,3,0,14
2022-09-07,12,1,0,7
2022-09-08,9,1,0,5
2022-09-09,7,2,0,2
2022-09-10,7,2,0,4
2022-09-11,7,1,0,6
2022-09-12,8,5,1,2
2022-09-13,6,2,0,3
2022-09-14,7,6,1,3
2022-09-15,2,1,0,0
2022-09-16,5,2,0,1
2022-09-17,7,2,0,6
2022-09-18,6,5,0,1
2022-09-19,5,2,0,3
2022-09-20,7,0,0,3
2022-09-21,11,6,1,4
2022-09-22,10,1,0,9
2022-09-23,8,2,0,3
2022-09-24,9,0,0,4
2022-09-25,8,2,1,5
2022-09-26,5,3,0,4
2022-09-27,12,2,0,10
2022-09-28,4,1,0,3
2022-09-29,0,1,0,0
2022-09-30,8,2,0,5
2022-10-01,3,1,0,1
2022-10-02,9,3,0,4
2022-10-03,8,1,0,4
2022-10-04,7,0,0,3
2022-10-05,4,3,0,3
2022-10-06,6,5,1,3
2022-10-07,3,0,0,1
2022-10-08,4,1,0,1
2022-10-09,6,2,1,3
2022-10-10,7,2,0,3
2022-10-11,6,3,0,3
2022-10-12,3,1,0,1
2022-10-13,7,2,0,4
2022-10-14,6,1,0,2
2022-10-15,2,1,0,1
2022-10-16,6,1,0,3
2022-10-17,9,1,0,6
2022-10-18,5,3,0,1
2022-10-19,10,6,0,4
2022-10-20,3,3,0,0
2022-10-21,4,1,0,3
2022-10-22,4,1,0,2
2022-10-23,6,0,0,4
2022-10-24,6,3,2,1
2022-10-25,5,1,0,3
2022-10-26,5,4,0,3
2022-10-27,7,4,1,3
2022-10-28,4,1,0,2
2022-10-29,6,2,0,4
2022-10-30,6,2,0,2
2022-10-31,3,2,0,0
2022-11-01,5,2,0,1
2022-11-02,9,-1,0,7
2022-11-03,23,1,0,18
2022-11-04,12,0,-1,10
2022-11-05,8,2,0,5
2022-11-06,6,1,0,4
2022-11-07,11,2,0,8
2022-11-08,10,5,0,5
2022-11-09,6,1,0,5
2022-11-10,6,3,0,3
2022-11-11,3,0,0,1
2022-11-12,1,1,0,0
2022-11-13,5,0,0,5
2022-11-14,4,0,0,2
2022-11-15,8,0,0,3
2022-11-16,13,3,0,6
2022-11-17,1,5,0,0
2022-11-18,6,0,0,4
2022-11-19,6,3,0,0
2022-11-20,6,2,0,2
2022-11-21,7,1,0,5
2022-11-22,8,4,0,3
2022-11-23,3,0,0,1
2022-11-24,3,6,0,0
2022-11-25,7,1,0,5
2022-11-26,3,2,0,1
2022-11-27,4,1,0,0
2022-11-28,0,1,0,0
2022-11-29,10,3,0,3
2022-11-30,3,2,0,0
2022-12-01,6,2,0,4
2022-12-02,3,5,1,0
2022-12-03,5,2,0,1
2022-12-04,5,1,0,3
2022-12-05,7,3,0,5
2022-12-06,6,2,0,2
2022-12-07,7,-1,0,5
2022-12-08,3,2,1,0
2022-12-09,6,1,0,5
2022-12-10,2,0,0,0
2022-12-11,5,3,0,1
2022-12-12,2,0,0,1
2022-12-13,7,3,0,2
2022-12-14,4,1,0,3
2022-12-15,6,2,0,2
2022-12-16,7,2,0,3
2022-12-17,7,3,0,3
2022-12-18,8,4,0,3
2022-12-19,5,4,0,2
2022-12-20,5,2,0,2
2022-12-21,3,1,0,3
2022-12-22,7,1,0,4
2022-12-23,2,1,0,2
2022-12-24,2,0,0,2
2022-12-25,10,1,0,6
2022-12-26,9,3,0,7
2022-12-27,8,1,0,5
2022-12-28,12,4,0,6
2022-12-29,8,4,0,6
2022-12-30,6,4,0,5
2022-12-31,12,2,0,5
2023-01-01,31,5,0,22
2023-01-02,60,13,1,43
2023-01-03,26,6,0,19
2023-01-04,16,3,0,9
2023-01-05,18,5,0,12
2023-01-06,18,4,0,11
2023-01-07,15,4,0,10
2023-01-08,20,5,0,8
2023-01-09,7,4,0,4
2023-01-10,7,1,0,4
2023-01-11,8,3,1,4
2023-01-12,12,4,0,8
2023-01-13,5,2,0,3
2023-01-14,11,1,0,5
2023-01-15,10,4,0,5
2023-01-16,15,3,0,6
2023-01-17,9,5,0,2
2023-01-18,7,4,0,1
2023-01-19,7,3,0,2
2023-01-20,5,0,0,3
2023-01-21,5,1,0,4
2023-01-22,7,2,0,2
2023-01-23,8,3,1,3
2023-01-24,8,6,1,1
2023-01-25,7,0,0,3
2023-01-26,7,3,0,4
2023-01-27,7,2,0,3
2023-01-28,11,4,0,5
2023-01-29,6,2,0,1
2023-01-30,4,4,0,2
2023-01-31,12,4,1,5
2023-02-01,4,1,1,3
