date,added,ratings,reviews,to-read
2022-08-16,4559,1175,108,2608
2022-08-17,4057,1146,105,2224
2022-08-18,2716,1069,117,1875
2022-08-19,3493,999,124,1851
2022-08-20,3366,950,103,1816
2022-08-21,4015,1059,99,2170
2022-08-22,4487,1060,108,2686
2022-08-23,4496,1054,100,2655
2022-08-24,3966,1026,92,2219
2022-08-25,2834,1008,115,2086
2022-08-26,3461,950,82,1949
2022-08-27,3556,910,103,1998
2022-08-28,4256,1003,108,2472
2022-08-29,3721,1001,115,2006
2022-08-30,3450,993,110,1774
2022-08-31,3908,1096,108,2123
2022-09-01,4688,1035,77,2901
2022-09-02,4165,873,79,2665
2022-09-03,3788,867,89,2248
2022-09-04,4120,965,98,2290
2022-09-05,4646,1006,115,2838
2022-09-06,3789,955,101,2121
2022-09-07,3779,1016,109,2027
2022-09-08,3082,889,102,1632
2022-09-09,2846,831,90,1487
2022-09-10,3148,818,90,1656
2022-09-11,2463,978,101,1652
2022-09-12,3034,860,77,1509
2022-09-13,3064,889,109,1535
2022-09-14,2867,901,90,1407
2022-09-15,1830,807,85,1244
2022-09-16,2500,774,72,1217
2022-09-17,2563,758,85,1216
2022-09-18,3252,951,95,1576
2022-09-19,2891,845,89,1406
2022-09-20,1745,806,104,1105
2022-09-21,1692,828,82,1059
2022-09-22,2373,801,76,1014
2022-09-23,2170,724,90,1001
2022-09-24,2344,663,73,1017
2022-09-25,2805,841,88,1234
2022-09-26,1778,779,77,1159
2022-09-27,2593,778,83,1170
2022-09-28,2450,751,84,1105
2022-09-29,2276,764,86,1020
2022-09-30,2189,699,85,1020
2022-10-01,14689,729,67,13315
2022-10-02,4446,859,88,2843
2022-10-03,3832,803,76,2375
2022-10-04,3324,792,85,1853
2022-10-05,3042,810,90,1552
2022-10-06,2785,788,93,1422
2022-10-07,2613,759,102,1384
2022-10-08,3093,747,85,1705
2022-10-09,2904,934,101,1254
2022-10-10,2858,930,111,1254
2022-10-11,2586,825,98,1129
2022-10-12,2502,859,107,1099
2022-10-13,1567,851,114,974
2022-10-14,2205,739,89,961
2022-10-15,2380,769,81,1031
2022-10-16,2749,892,115,1217
2022-10-17,2521,824,88,1028
2022-10-18,2625,859,101,1185
2022-10-19,2534,808,102,1129
2022-10-20,2305,777,75,1095
2022-10-21,2520,703,78,1277
2022-10-22,2254,727,78,1028
2022-10-23,2755,874,105,1239
2022-10-24,2510,815,89,1120
2022-10-25,1706,817,81,1096
2022-10-26,2507,811,73,1072
2022-10-27,2302,779,77,1027
2022-10-28,2091,728,108,894
2022-10-29,2165,682,71,964
2022-10-30,2529,781,85,1099
2022-10-31,2702,730,96,1500
2022-11-01,3535,775,74,2101
2022-11-02,3021,798,93,1612
2022-11-03,2701,744,73,1342
2022-11-04,2531,782,83,1262
2022-11-05,2798,789,89,1389
2022-11-06,3156,913,77,1460
2022-11-07,2599,822,102,1148
2022-11-08,2683,773,89,1318
2022-11-09,2472,752,100,1181
2022-11-10,2313,723,67,1112
2022-11-11,2273,694,76,1085
2022-11-12,2336,751,70,1055
2022-11-13,2881,880,91,1320
2022-11-14,2457,806,81,1103
2022-11-15,2551,805,82,1111
2022-11-16,2388,777,83,1067
2022-11-17,1591,742,71,1014
2022-11-18,2025,683,68,954
2022-11-19,2374,709,68,1057
2022-11-20,2605,798,81,1190
2022-11-21,2369,793,85,1062
2022-11-22,2373,758,83,1053
2022-11-23,2225,740,72,994
2022-11-24,1967,674,78,912
2022-11-25,2187,684,58,1033
2022-11-26,2506,759,83,1208
2022-11-27,2781,856,81,1303
2022-11-28,2435,812,66,1116
2022-11-29,2448,766,80,1161
2022-11-30,2472,780,80,1121
2022-12-01,2127,728,72,967
2022-12-02,2115,649,61,1007
2022-12-03,2467,751,71,1161
2022-12-04,2678,778,75,1309
2022-12-05,2436,768,81,1154
2022-12-06,2432,694,85,1171
2022-12-07,2235,744,82,1616
2022-12-08,2235,690,76,1039
2022-12-09,2011,649,53,952
2022-12-10,3016,750,81,1741
2022-12-11,2816,806,81,1332
2022-12-12,2459,737,70,1222
2022-12-13,2494,780,83,1179
2022-12-14,2490,772,73,1226
2022-12-15,3122,860,69,1637
2022-12-16,2636,845,92,1294
2022-12-17,3005,861,58,1486
2022-12-18,3215,898,81,1635
2022-12-19,2910,908,80,1406
2022-12-20,2264,923,105,1405
2022-12-21,3115,959,92,1549
2022-12-22,3094,929,86,1570
2022-12-23,3105,931,92,1587
2022-12-24,2847,849,86,1489
2022-12-25,4332,1071,95,2422
2022-12-26,5406,1380,111,2878
2022-12-27,6050,1625,168,3194
2022-12-28,6387,1799,151,3411
2022-12-29,4968,1755,188,3282
2022-12-30,6924,2026,169,3667
2022-12-31,8280,2252,168,4625
2023-01-01,15977,2807,170,9788
2023-01-02,14198,3955,292,8596
2023-01-03,11483,2846,244,6948
2023-01-04,7714,2460,206,5344
2023-01-05,8014,2237,202,4520
2023-01-06,6594,1851,201,3608
2023-01-07,6897,1790,193,3855
2023-01-08,7601,1867,203,4278
2023-01-09,6594,1751,164,3612
2023-01-10,7054,1807,181,3911
2023-01-11,5117,1757,161,3573
2023-01-12,6106,1582,181,3435
2023-01-13,5341,1461,156,2912
2023-01-14,5745,1508,162,3076
2023-01-15,6557,1671,179,3516
2023-01-16,5915,1572,149,3303
2023-01-17,5385,1406,173,2895
2023-01-18,5418,1404,153,2932
2023-01-19,4936,1394,164,2642
2023-01-20,3314,1243,131,2296
2023-01-21,5076,1373,152,2688
2023-01-22,6015,1548,157,3194
2023-01-23,5226,1395,176,2735
2023-01-24,5174,1356,167,2731
2023-01-25,5225,1354,162,2733
2023-01-26,4795,1313,138,2547
2023-01-27,4311,1200,125,2251
2023-01-28,4971,1355,172,2569
2023-01-29,5669,1489,173,2985
2023-01-30,3400,1348,149,2402
2023-01-31,4946,1359,147,2467
2023-02-01,3128,1389,148,2122
