date,added,ratings,reviews,to-read
2022-08-16,5,3,0,1
2022-08-17,6,3,0,5
2022-08-18,11,4,2,6
2022-08-19,13,2,1,4
2022-08-20,13,4,0,7
2022-08-21,2,4,0,1
2022-08-22,7,2,0,3
2022-08-23,10,2,1,7
2022-08-24,9,1,0,3
2022-08-25,4,0,0,3
2022-08-26,9,2,0,4
2022-08-27,10,2,0,6
2022-08-28,8,1,1,5
2022-08-29,7,4,1,4
2022-08-30,12,7,1,3
2022-08-31,10,5,1,6
2022-09-01,9,2,1,4
2022-09-02,10,-1,-1,4
2022-09-03,8,4,2,3
2022-09-04,9,3,1,5
2022-09-05,10,2,1,5
2022-09-06,12,2,2,8
2022-09-07,1,3,0,1
2022-09-08,5,2,0,2
2022-09-09,7,5,1,1
2022-09-10,10,0,0,7
2022-09-11,4,1,0,2
2022-09-12,8,5,1,3
2022-09-13,6,3,0,3
2022-09-14,4,2,0,2
2022-09-15,6,4,1,5
2022-09-16,5,2,0,2
2022-09-17,8,3,0,1
2022-09-18,12,0,0,6
2022-09-19,9,4,0,5
2022-09-20,5,2,0,1
2022-09-21,9,3,0,5
2022-09-22,6,1,0,3
2022-09-23,6,1,0,4
2022-09-24,9,1,0,5
2022-09-25,11,3,1,5
2022-09-26,8,2,0,6
2022-09-27,5,1,0,3
2022-09-28,6,2,1,4
2022-09-29,2,0,0,1
2022-09-30,10,1,0,6
2022-10-01,10,5,1,6
2022-10-02,12,4,0,3
2022-10-03,7,4,2,2
2022-10-04,5,1,0,0
2022-10-05,10,2,0,6
2022-10-06,7,2,1,2
2022-10-07,6,3,0,2
2022-10-08,8,0,0,3
2022-10-09,12,0,0,4
2022-10-10,3,1,0,1
2022-10-11,8,4,1,5
2022-10-12,6,3,0,2
2022-10-13,10,1,0,7
2022-10-14,5,1,1,3
2022-10-15,11,1,0,6
2022-10-16,13,5,0,8
2022-10-17,9,1,0,4
2022-10-18,7,1,0,4
2022-10-19,6,0,0,4
2022-10-20,8,2,0,2
2022-10-21,9,3,0,8
2022-10-22,11,2,0,4
2022-10-23,7,3,0,5
2022-10-24,7,2,1,2
2022-10-25,10,2,0,6
2022-10-26,15,5,0,6
2022-10-27,12,4,1,5
2022-10-28,4,3,0,3
2022-10-29,3,-1,0,2
2022-10-30,2,-4,0,2
2022-10-31,6,1,0,4
2022-11-01,5,1,1,3
2022-11-02,10,3,1,2
2022-11-03,6,2,0,4
2022-11-04,6,0,0,3
2022-11-05,12,1,0,5
2022-11-06,2,3,0,0
2022-11-07,8,-1,0,3
2022-11-08,9,1,0,2
2022-11-09,9,4,0,5
2022-11-10,11,4,0,6
2022-11-11,7,0,1,4
2022-11-12,6,2,0,2
2022-11-13,7,1,0,5
2022-11-14,8,2,1,4
2022-11-15,7,4,1,3
2022-11-16,3,3,0,1
2022-11-17,2,1,0,1
2022-11-18,4,1,0,1
2022-11-19,7,0,-1,2
2022-11-20,8,2,0,3
2022-11-21,5,-1,0,2
2022-11-22,11,2,0,4
2022-11-23,7,3,0,3
2022-11-24,6,2,0,3
2022-11-25,3,1,0,2
2022-11-26,6,1,0,2
2022-11-27,5,1,0,4
2022-11-28,6,0,-1,4
2022-11-29,7,1,0,4
2022-11-30,7,2,0,2
2022-12-01,10,5,0,2
2022-12-02,4,2,0,2
2022-12-03,7,0,0,6
2022-12-04,6,3,1,4
2022-12-05,2,-1,0,1
2022-12-06,6,2,0,1
2022-12-07,4,5,0,3
2022-12-08,8,2,1,3
2022-12-09,4,2,0,2
2022-12-10,4,2,0,1
2022-12-11,8,6,0,0
2022-12-12,7,2,0,4
2022-12-13,7,1,0,4
2022-12-14,6,4,0,2
2022-12-15,5,3,1,3
2022-12-16,8,2,0,4
2022-12-17,2,0,0,0
2022-12-18,10,1,0,5
2022-12-19,8,2,0,4
2022-12-20,4,1,1,3
2022-12-21,6,2,0,2
2022-12-22,5,3,0,2
2022-12-23,6,0,0,3
2022-12-24,3,1,0,2
2022-12-25,8,1,1,4
2022-12-26,3,1,0,2
2022-12-27,9,3,0,4
2022-12-28,11,-1,0,6
2022-12-29,11,1,0,9
2022-12-30,5,1,2,1
2022-12-31,8,0,1,1
2023-01-01,12,4,0,2
2023-01-02,16,5,0,6
2023-01-03,2,3,2,0
2023-01-04,10,1,1,5
2023-01-05,5,2,0,2
2023-01-06,6,2,0,3
2023-01-07,5,4,0,0
2023-01-08,5,1,0,3
2023-01-09,11,-2,0,3
2023-01-10,9,4,0,7
2023-01-11,5,2,1,3
2023-01-12,11,2,0,2
2023-01-13,6,4,0,2
2023-01-14,5,2,0,3
2023-01-15,8,2,1,4
2023-01-16,9,2,1,5
2023-01-17,9,4,0,4
2023-01-18,7,2,0,1
2023-01-19,8,4,0,7
2023-01-20,7,2,1,4
2023-01-21,3,4,1,1
2023-01-22,5,1,0,2
2023-01-23,8,1,0,4
2023-01-24,10,3,0,5
2023-01-25,11,5,0,3
2023-01-26,6,0,0,6
2023-01-27,6,3,0,1
2023-01-28,11,1,0,7
2023-01-29,6,4,0,3
2023-01-30,3,0,0,1
2023-01-31,5,1,0,2
2023-02-01,9,3,1,6
