date,added,ratings,reviews,to-read
2022-08-16,13,5,0,4
2022-08-17,20,6,0,7
2022-08-18,13,3,2,7
2022-08-19,17,5,1,4
2022-08-20,20,4,0,7
2022-08-21,17,6,0,5
2022-08-22,21,8,1,5
2022-08-23,17,11,1,5
2022-08-24,18,4,1,5
2022-08-25,16,9,0,3
2022-08-26,10,3,0,4
2022-08-27,11,1,0,5
2022-08-28,27,-2,0,7
2022-08-29,17,-39,-2,2
2022-08-30,16,8,2,3
2022-08-31,18,6,2,3
2022-09-01,16,7,0,4
2022-09-02,25,6,0,5
2022-09-03,17,5,1,3
2022-09-04,24,5,0,9
2022-09-05,20,5,2,11
2022-09-06,31,-23,0,9
2022-09-07,18,4,0,3
2022-09-08,15,9,3,5
2022-09-09,13,8,0,0
2022-09-10,22,2,-1,9
2022-09-11,10,6,1,5
2022-09-12,17,3,1,4
2022-09-13,9,3,0,4
2022-09-14,17,2,0,2
2022-09-15,12,7,0,3
2022-09-16,16,3,0,3
2022-09-17,15,6,0,6
2022-09-18,12,4,1,3
2022-09-19,15,4,2,6
2022-09-20,19,16,1,7
2022-09-21,11,4,1,3
2022-09-22,10,3,0,2
2022-09-23,9,4,0,2
2022-09-24,16,4,0,6
2022-09-25,22,3,1,6
2022-09-26,6,-22,0,2
2022-09-27,15,-19,1,5
2022-09-28,20,-37,1,5
2022-09-29,4,-18,1,1
2022-09-30,12,3,0,5
2022-10-01,22,6,0,7
2022-10-02,16,-44,0,5
2022-10-03,12,-22,1,2
2022-10-04,15,9,1,4
2022-10-05,13,5,0,4
2022-10-06,18,10,1,6
2022-10-07,9,4,1,1
2022-10-08,18,9,1,4
2022-10-09,17,-21,1,6
2022-10-10,9,9,1,0
2022-10-11,8,-3,0,2
2022-10-12,14,-32,0,3
2022-10-13,12,6,0,2
2022-10-14,13,-46,0,4
2022-10-15,16,5,0,5
2022-10-16,17,-99,0,4
2022-10-17,15,-70,1,4
2022-10-18,10,-9,1,2
2022-10-19,12,6,0,6
2022-10-20,10,2,0,2
2022-10-21,16,-16,0,6
2022-10-22,16,-12,0,8
2022-10-23,12,-110,0,3
2022-10-24,18,-41,1,5
2022-10-25,9,-5,0,2
2022-10-26,8,8,0,1
2022-10-27,23,9,0,2
2022-10-28,15,13,0,1
2022-10-29,16,7,0,5
2022-10-30,9,6,0,2
2022-10-31,12,0,1,1
2022-11-01,11,4,1,2
2022-11-02,11,3,0,4
2022-11-03,7,-6,0,2
2022-11-04,11,7,0,2
2022-11-05,12,4,0,5
2022-11-06,19,3,0,7
2022-11-07,11,5,0,3
2022-11-08,10,5,0,5
2022-11-09,13,5,0,4
2022-11-10,11,5,1,2
2022-11-11,8,3,0,5
2022-11-12,14,2,0,3
2022-11-13,19,0,0,9
2022-11-14,14,5,0,4
2022-11-15,13,1,0,5
2022-11-16,13,5,0,7
2022-11-17,13,1,0,2
2022-11-18,8,4,0,1
2022-11-19,17,5,1,3
2022-11-20,16,7,0,8
2022-11-21,11,2,0,4
2022-11-22,20,5,0,6
2022-11-23,14,5,0,3
2022-11-24,14,1,0,2
2022-11-25,26,8,0,6
2022-11-26,18,8,2,9
2022-11-27,11,0,0,0
2022-11-28,20,8,0,8
2022-11-29,6,6,0,1
2022-11-30,17,4,0,5
2022-12-01,19,10,1,6
2022-12-02,18,3,0,4
2022-12-03,14,7,1,5
2022-12-04,16,8,0,5
2022-12-05,14,7,1,3
2022-12-06,11,5,0,2
2022-12-07,11,8,1,2
2022-12-08,11,4,0,4
2022-12-09,17,6,0,4
2022-12-10,14,8,0,1
2022-12-11,12,3,0,5
2022-12-12,15,8,0,7
2022-12-13,13,4,0,2
2022-12-14,8,4,0,5
2022-12-15,20,4,1,6
2022-12-16,21,8,0,7
2022-12-17,13,4,0,3
2022-12-18,15,2,1,6
2022-12-19,8,7,2,3
2022-12-20,14,5,0,3
2022-12-21,22,10,0,4
2022-12-22,20,10,1,5
2022-12-23,19,8,1,2
2022-12-24,16,8,1,6
2022-12-25,18,2,1,4
2022-12-26,30,21,1,5
2022-12-27,23,12,2,4
2022-12-28,22,9,1,9
2022-12-29,17,14,0,6
2022-12-30,29,6,0,8
2022-12-31,37,20,1,7
2023-01-01,41,4,0,13
2023-01-02,40,25,0,9
2023-01-03,34,15,0,7
2023-01-04,23,14,1,6
2023-01-05,21,3,0,4
2023-01-06,28,16,2,5
2023-01-07,31,10,0,9
2023-01-08,23,10,0,9
2023-01-09,25,10,-1,5
2023-01-10,31,5,1,8
2023-01-11,21,14,4,5
2023-01-12,26,7,0,6
2023-01-13,18,0,0,3
2023-01-14,29,11,1,4
2023-01-15,35,7,0,13
2023-01-16,33,10,0,11
2023-01-17,18,8,2,4
2023-01-18,20,0,0,7
2023-01-19,12,5,0,6
2023-01-20,14,6,1,5
2023-01-21,31,11,0,8
2023-01-22,23,5,0,7
2023-01-23,10,4,0,4
2023-01-24,16,1,0,4
2023-01-25,22,6,0,8
2023-01-26,24,10,0,8
2023-01-27,20,6,3,4
2023-01-28,21,9,2,4
2023-01-29,22,4,1,6
2023-01-30,12,11,2,5
2023-01-31,21,7,0,4
2023-02-01,13,12,1,3
