date,added,ratings,reviews,to-read
2022-08-16,23,19,0,6
2022-08-17,43,19,0,15
2022-08-18,33,18,0,13
2022-08-19,31,10,0,13
2022-08-20,35,16,1,10
2022-08-21,39,17,0,15
2022-08-22,30,20,0,9
2022-08-23,29,14,0,10
2022-08-24,45,13,0,12
2022-08-25,30,14,1,13
2022-08-26,34,13,1,10
2022-08-27,32,11,0,13
2022-08-28,37,1,2,8
2022-08-29,53,-27,0,16
2022-08-30,37,24,1,5
2022-08-31,60,11,1,24
2022-09-01,29,17,1,9
2022-09-02,31,15,0,9
2022-09-03,38,10,0,10
2022-09-04,46,19,1,13
2022-09-05,37,11,0,14
2022-09-06,41,-9,0,14
2022-09-07,31,16,0,10
2022-09-08,27,9,1,9
2022-09-09,31,11,1,2
2022-09-10,46,20,0,14
2022-09-11,28,11,0,13
2022-09-12,43,15,0,12
2022-09-13,38,18,2,11
2022-09-14,37,6,1,12
2022-09-15,27,12,2,7
2022-09-16,39,14,0,8
2022-09-17,41,19,0,9
2022-09-18,35,19,0,11
2022-09-19,23,12,0,7
2022-09-20,35,17,0,13
2022-09-21,34,13,1,8
2022-09-22,40,23,0,9
2022-09-23,38,12,1,11
2022-09-24,35,17,0,9
2022-09-25,63,23,0,22
2022-09-26,54,-1,0,20
2022-09-27,55,4,1,21
2022-09-28,59,-9,0,14
2022-09-29,39,2,2,18
2022-09-30,50,21,1,12
2022-10-01,50,14,0,10
2022-10-02,56,-21,0,18
2022-10-03,46,-12,1,17
2022-10-04,59,22,1,20
2022-10-05,56,30,2,12
2022-10-06,47,22,0,15
2022-10-07,45,19,0,12
2022-10-08,49,16,0,18
2022-10-09,39,-17,0,10
2022-10-10,42,15,0,16
2022-10-11,46,5,0,15
2022-10-12,50,-14,-1,14
2022-10-13,41,18,2,12
2022-10-14,37,-52,0,12
2022-10-15,49,14,0,16
2022-10-16,51,-87,0,18
2022-10-17,37,-52,0,10
2022-10-18,58,-4,0,14
2022-10-19,49,21,0,13
2022-10-20,51,23,3,13
2022-10-21,39,5,1,10
2022-10-22,49,-4,0,9
2022-10-23,35,-87,1,6
2022-10-24,49,-28,1,10
2022-10-25,32,10,1,12
2022-10-26,28,22,0,7
2022-10-27,39,12,0,15
2022-10-28,31,16,0,10
2022-10-29,34,9,0,10
2022-10-30,32,16,1,11
2022-10-31,29,13,1,7
2022-11-01,34,13,3,13
2022-11-02,28,9,0,6
2022-11-03,53,-22,1,39
2022-11-04,56,15,0,23
2022-11-05,57,12,0,26
2022-11-06,46,14,0,16
2022-11-07,52,13,0,20
2022-11-08,36,16,1,13
2022-11-09,26,5,1,10
2022-11-10,30,21,0,11
2022-11-11,49,24,2,13
2022-11-12,35,14,0,12
2022-11-13,32,14,0,11
2022-11-14,39,8,0,9
2022-11-15,36,16,0,10
2022-11-16,48,18,1,12
2022-11-17,29,15,0,13
2022-11-18,28,13,0,9
2022-11-19,31,9,0,11
2022-11-20,30,10,0,7
2022-11-21,25,18,1,5
2022-11-22,36,16,0,7
2022-11-23,33,12,0,8
2022-11-24,38,11,1,9
2022-11-25,30,7,0,13
2022-11-26,41,12,0,9
2022-11-27,30,9,0,7
2022-11-28,34,15,0,8
2022-11-29,26,7,1,10
2022-11-30,35,3,0,8
2022-12-01,35,14,1,10
2022-12-02,27,5,0,8
2022-12-03,32,8,1,8
2022-12-04,28,13,0,8
2022-12-05,39,15,0,8
2022-12-06,37,15,0,7
2022-12-07,33,15,0,9
2022-12-08,28,11,1,13
2022-12-09,22,10,1,4
2022-12-10,20,8,1,6
2022-12-11,34,15,2,12
2022-12-12,33,12,1,12
2022-12-13,35,13,1,10
2022-12-14,27,7,1,10
2022-12-15,32,14,0,10
2022-12-16,32,6,-1,9
2022-12-17,42,16,1,10
2022-12-18,40,16,1,9
2022-12-19,23,10,2,4
2022-12-20,33,12,1,11
2022-12-21,61,24,0,19
2022-12-22,49,24,1,9
2022-12-23,33,18,0,10
2022-12-24,29,15,0,12
2022-12-25,51,11,0,20
2022-12-26,46,11,0,11
2022-12-27,63,21,1,20
2022-12-28,47,17,1,11
2022-12-29,39,17,1,15
2022-12-30,55,12,0,25
2022-12-31,72,29,1,24
2023-01-01,84,20,1,23
2023-01-02,79,36,1,17
2023-01-03,79,31,2,23
2023-01-04,48,20,-1,12
2023-01-05,45,22,0,14
2023-01-06,58,15,1,14
2023-01-07,61,28,1,21
2023-01-08,73,14,2,26
2023-01-09,50,25,1,11
2023-01-10,53,14,2,13
2023-01-11,32,13,1,10
2023-01-12,49,5,0,13
2023-01-13,58,15,1,13
2023-01-14,44,5,1,14
2023-01-15,57,20,1,18
2023-01-16,50,17,1,16
2023-01-17,40,15,0,11
2023-01-18,55,14,0,18
2023-01-19,40,14,1,13
2023-01-20,38,19,1,16
2023-01-21,47,19,1,11
2023-01-22,67,21,1,20
2023-01-23,62,20,1,15
2023-01-24,45,25,1,19
2023-01-25,45,16,2,11
2023-01-26,44,20,2,9
2023-01-27,39,14,1,11
2023-01-28,63,12,0,15
2023-01-29,41,19,2,14
2023-01-30,29,11,0,19
2023-01-31,22,10,0,9
2023-02-01,27,12,0,5
