date,added,ratings,reviews,to-read
2022-08-16,399,75,11,281
2022-08-17,1100,102,16,918
2022-08-18,571,76,7,466
2022-08-19,471,62,4,311
2022-08-20,465,70,8,307
2022-08-21,505,105,12,317
2022-08-22,514,73,5,366
2022-08-23,395,77,9,297
2022-08-24,453,-10,10,292
2022-08-25,320,74,11,222
2022-08-26,381,75,6,229
2022-08-27,343,60,12,216
2022-08-28,464,-78,13,270
2022-08-29,433,-196,6,268
2022-08-30,397,80,10,232
2022-08-31,448,49,15,267
2022-09-01,387,67,9,246
2022-09-02,341,70,9,213
2022-09-03,384,54,5,246
2022-09-04,405,74,9,247
2022-09-05,431,109,8,228
2022-09-06,387,7,5,235
2022-09-07,399,80,10,238
2022-09-08,357,72,7,196
2022-09-09,325,75,9,191
2022-09-10,336,54,5,197
2022-09-11,398,73,7,305
2022-09-12,376,87,7,229
2022-09-13,376,60,7,224
2022-09-14,385,48,4,214
2022-09-15,289,93,7,189
2022-09-16,332,71,8,202
2022-09-17,309,56,10,193
2022-09-18,353,67,7,212
2022-09-19,384,83,7,216
2022-09-20,341,83,4,215
2022-09-21,312,95,7,182
2022-09-22,338,117,11,168
2022-09-23,328,44,9,192
2022-09-24,295,57,2,173
2022-09-25,364,69,10,217
2022-09-26,314,-5,10,186
2022-09-27,371,-24,5,213
2022-09-28,322,-203,11,198
2022-09-29,339,-118,3,206
2022-09-30,350,74,6,209
2022-10-01,377,54,10,240
2022-10-02,380,-26,7,226
2022-10-03,348,3,9,213
2022-10-04,336,68,9,181
2022-10-05,297,66,10,201
2022-10-06,397,76,15,254
2022-10-07,320,45,7,199
2022-10-08,306,58,4,171
2022-10-09,398,17,12,231
2022-10-10,355,53,3,215
2022-10-11,362,39,9,221
2022-10-12,374,2,8,232
2022-10-13,248,51,9,184
2022-10-14,326,-112,4,210
2022-10-15,315,49,5,185
2022-10-16,368,-282,6,207
2022-10-17,378,-354,8,214
2022-10-18,393,-9,12,225
2022-10-19,382,57,8,223
2022-10-20,308,67,6,181
2022-10-21,313,5,9,182
2022-10-22,296,-3,10,167
2022-10-23,341,-379,7,186
2022-10-24,351,-16,15,194
2022-10-25,248,19,6,156
2022-10-26,339,73,7,199
2022-10-27,338,66,13,185
2022-10-28,305,68,7,189
2022-10-29,318,64,6,188
2022-10-30,328,50,11,192
2022-10-31,299,23,5,174
2022-11-01,385,69,10,227
2022-11-02,313,55,8,184
2022-11-03,318,9,8,181
2022-11-04,282,55,8,162
2022-11-05,310,52,7,195
2022-11-06,379,62,8,209
2022-11-07,340,65,8,210
2022-11-08,353,65,11,214
2022-11-09,322,81,3,193
2022-11-10,225,59,7,151
2022-11-11,312,51,7,182
2022-11-12,294,58,14,170
2022-11-13,320,55,8,175
2022-11-14,326,66,4,190
2022-11-15,341,51,6,187
2022-11-16,307,63,10,174
2022-11-17,223,50,0,165
2022-11-18,296,70,4,178
2022-11-19,266,56,4,160
2022-11-20,325,56,10,182
2022-11-21,313,71,13,168
2022-11-22,267,52,6,149
2022-11-23,266,62,2,150
2022-11-24,260,53,8,148
2022-11-25,296,48,2,182
2022-11-26,301,58,5,184
2022-11-27,336,61,7,190
2022-11-28,305,76,8,168
2022-11-29,302,60,5,164
2022-11-30,333,65,5,186
2022-12-01,268,64,9,167
2022-12-02,255,35,0,153
2022-12-03,333,51,7,195
2022-12-04,337,56,6,221
2022-12-05,310,69,7,171
2022-12-06,310,64,8,189
2022-12-07,236,73,10,146
2022-12-08,209,59,12,143
2022-12-09,260,49,4,157
2022-12-10,277,64,10,146
2022-12-11,317,56,10,190
2022-12-12,349,71,6,195
2022-12-13,338,75,5,194
2022-12-14,313,56,12,179
2022-12-15,371,71,8,240
2022-12-16,308,63,9,179
2022-12-17,301,64,8,175
2022-12-18,368,51,4,212
2022-12-19,334,85,12,184
2022-12-20,307,77,8,201
2022-12-21,389,78,8,227
2022-12-22,368,81,10,218
2022-12-23,345,79,9,203
2022-12-24,336,70,9,209
2022-12-25,456,61,5,276
2022-12-26,504,98,6,292
2022-12-27,476,86,8,295
2022-12-28,587,114,13,333
2022-12-29,416,106,13,269
2022-12-30,618,134,17,342
2022-12-31,644,152,7,369
2023-01-01,986,131,8,597
2023-01-02,984,217,11,592
2023-01-03,832,189,25,499
2023-01-04,610,132,13,403
2023-01-05,699,100,15,416
2023-01-06,556,113,18,315
2023-01-07,587,104,8,330
2023-01-08,632,142,16,359
2023-01-09,605,133,5,338
2023-01-10,591,111,12,330
2023-01-11,432,124,16,287
2023-01-12,551,58,17,311
2023-01-13,453,13,18,267
2023-01-14,488,91,12,299
2023-01-15,569,117,10,323
2023-01-16,523,109,9,294
2023-01-17,498,102,16,283
2023-01-18,549,107,15,317
2023-01-19,467,86,13,282
2023-01-20,365,90,14,241
2023-01-21,411,68,9,234
2023-01-22,505,109,14,292
2023-01-23,478,96,10,260
2023-01-24,495,97,13,289
2023-01-25,466,82,12,277
2023-01-26,487,117,19,271
2023-01-27,412,96,6,244
2023-01-28,442,85,12,288
2023-01-29,527,86,11,320
2023-01-30,376,95,9,235
2023-01-31,459,87,4,258
2023-02-01,390,79,12,232
