date,added,ratings,reviews,to-read
2022-08-16,1453,584,26,805
2022-08-17,1740,629,28,800
2022-08-18,1364,554,32,757
2022-08-19,1467,511,35,697
2022-08-20,1440,499,33,677
2022-08-21,1754,530,33,837
2022-08-22,1641,546,26,782
2022-08-23,1665,579,34,787
2022-08-24,1613,470,31,763
2022-08-25,1244,512,30,667
2022-08-26,1488,478,25,730
2022-08-27,1407,456,25,647
2022-08-28,1531,400,21,721
2022-08-29,1537,382,25,732
2022-08-30,1553,459,25,772
2022-08-31,1550,491,27,739
2022-09-01,1516,522,22,762
2022-09-02,1313,400,24,643
2022-09-03,1346,397,21,680
2022-09-04,1463,488,27,679
2022-09-05,1572,500,26,717
2022-09-06,1422,429,29,728
2022-09-07,1540,510,27,764
2022-09-08,1304,445,18,623
2022-09-09,1311,418,27,675
2022-09-10,1340,385,20,681
2022-09-11,1348,1612,176,774
2022-09-12,1413,434,26,729
2022-09-13,1390,420,21,694
2022-09-14,1367,415,25,663
2022-09-15,1103,417,23,623
2022-09-16,1253,393,27,575
2022-09-17,1227,405,29,599
2022-09-18,1463,462,31,680
2022-09-19,1372,438,27,682
2022-09-20,1184,504,31,646
2022-09-21,1064,454,26,601
2022-09-22,1309,465,26,636
2022-09-23,1140,288,17,542
2022-09-24,1190,401,20,576
2022-09-25,1444,450,30,675
2022-09-26,1110,259,29,639
2022-09-27,1360,251,16,618
2022-09-28,1190,128,18,554
2022-09-29,1171,112,21,574
2022-09-30,1154,419,31,538
2022-10-01,1188,370,24,568
2022-10-02,1334,270,32,649
2022-10-03,1266,357,36,609
2022-10-04,1258,384,19,628
2022-10-05,1044,397,43,635
2022-10-06,1171,375,23,561
2022-10-07,1069,349,18,514
2022-10-08,1121,357,23,543
2022-10-09,1312,345,29,614
2022-10-10,1305,391,43,628
2022-10-11,1337,396,24,642
2022-10-12,1225,325,14,580
2022-10-13,949,347,17,569
2022-10-14,1118,169,16,566
2022-10-15,1169,367,28,578
2022-10-16,1324,205,25,644
2022-10-17,1251,226,27,582
2022-10-18,1261,355,30,568
2022-10-19,1169,405,31,548
2022-10-20,1076,354,25,524
2022-10-21,979,312,24,454
2022-10-22,1026,275,17,474
2022-10-23,1303,214,22,578
2022-10-24,1191,280,15,551
2022-10-25,1074,358,12,584
2022-10-26,1245,419,34,614
2022-10-27,1070,400,20,506
2022-10-28,987,357,15,451
2022-10-29,1074,334,21,520
2022-10-30,1161,352,19,514
2022-10-31,1100,323,26,521
2022-11-01,1191,376,22,583
2022-11-02,1160,360,19,598
2022-11-03,1159,362,18,574
2022-11-04,1153,396,30,568
2022-11-05,1164,365,20,599
2022-11-06,1351,399,19,674
2022-11-07,1205,418,15,595
2022-11-08,1212,394,23,593
2022-11-09,1161,357,24,602
2022-11-10,1086,366,17,543
2022-11-11,1042,317,19,528
2022-11-12,1092,362,18,548
2022-11-13,1378,392,24,758
2022-11-14,1292,417,31,666
2022-11-15,1307,407,20,637
2022-11-16,1379,428,23,724
2022-11-17,1000,367,15,582
2022-11-18,1135,345,12,644
2022-11-19,1198,340,20,626
2022-11-20,1213,370,23,607
2022-11-21,1217,358,23,608
2022-11-22,1187,393,24,614
2022-11-23,1092,352,21,547
2022-11-24,997,297,12,526
2022-11-25,1101,333,15,564
2022-11-26,1172,365,20,607
2022-11-27,1345,422,26,678
2022-11-28,1270,420,20,641
2022-11-29,1270,398,28,633
2022-11-30,1251,234,20,621
2022-12-01,1181,378,20,654
2022-12-02,1206,324,18,681
2022-12-03,1248,336,20,662
2022-12-04,1351,393,14,689
2022-12-05,1320,419,18,673
2022-12-06,1339,428,13,704
2022-12-07,985,390,16,581
2022-12-08,1083,371,13,563
2022-12-09,1023,331,14,495
2022-12-10,1135,343,21,558
2022-12-11,1238,391,29,597
2022-12-12,1263,391,19,626
2022-12-13,1220,437,13,595
2022-12-14,1188,374,23,586
2022-12-15,1339,661,57,654
2022-12-16,1255,393,18,601
2022-12-17,1308,443,16,660
2022-12-18,1237,393,18,558
2022-12-19,1255,420,23,606
2022-12-20,1084,446,29,581
2022-12-21,1267,436,39,626
2022-12-22,1269,409,25,565
2022-12-23,1319,455,29,638
2022-12-24,1329,416,24,691
2022-12-25,1870,530,25,979
2022-12-26,2105,636,35,1076
2022-12-27,2068,639,37,1057
2022-12-28,2190,701,27,1039
2022-12-29,1885,719,34,1055
2022-12-30,2316,760,47,1156
2022-12-31,2741,899,40,1309
2023-01-01,5078,1236,23,2619
2023-01-02,4453,1730,61,2324
2023-01-03,3486,1215,46,1762
2023-01-04,2599,959,53,1418
2023-01-05,2611,832,35,1304
2023-01-06,2221,730,39,1077
2023-01-07,2237,683,33,1095
2023-01-08,2387,760,39,1172
2023-01-09,2181,715,32,1075
2023-01-10,2202,696,29,1088
2023-01-11,1806,685,39,1074
2023-01-12,2001,510,51,1019
2023-01-13,1777,450,39,885
2023-01-14,1810,533,31,892
2023-01-15,1995,631,33,954
2023-01-16,1867,513,40,948
2023-01-17,1741,559,40,877
2023-01-18,1873,529,43,953
2023-01-19,1693,494,26,892
2023-01-20,1227,476,34,723
2023-01-21,1700,517,36,828
2023-01-22,2049,553,40,1114
2023-01-23,1796,511,28,951
2023-01-24,1725,526,47,929
2023-01-25,1739,483,31,875
2023-01-26,1686,509,32,896
2023-01-27,1569,460,36,824
2023-01-28,1684,475,33,875
2023-01-29,1909,525,47,943
2023-01-30,1355,525,47,806
2023-01-31,1685,534,24,869
2023-02-01,1664,486,49,854
