date,added,ratings,reviews,to-read
2022-08-16,827,485,3,199
2022-08-17,805,452,4,225
2022-08-18,706,413,5,178
2022-08-19,707,409,5,182
2022-08-20,764,399,4,191
2022-08-21,892,463,1,207
2022-08-22,766,414,4,189
2022-08-23,806,477,6,194
2022-08-24,779,386,7,173
2022-08-25,687,371,6,175
2022-08-26,763,378,7,209
2022-08-27,776,374,6,193
2022-08-28,798,388,3,183
2022-08-29,790,245,5,188
2022-08-30,815,412,2,202
2022-08-31,823,424,5,210
2022-09-01,724,383,4,208
2022-09-02,647,339,6,173
2022-09-03,711,369,2,197
2022-09-04,820,429,1,201
2022-09-05,824,443,7,183
2022-09-06,717,319,1,189
2022-09-07,781,435,3,193
2022-09-08,630,355,5,139
2022-09-09,641,360,7,154
2022-09-10,620,322,2,154
2022-09-11,633,348,2,173
2022-09-12,637,356,7,150
2022-09-13,641,363,3,172
2022-09-14,642,331,4,174
2022-09-15,588,337,0,148
2022-09-16,581,326,2,125
2022-09-17,578,303,2,158
2022-09-18,747,387,5,190
2022-09-19,667,360,4,151
2022-09-20,622,367,2,149
2022-09-21,621,394,4,157
2022-09-22,679,369,2,181
2022-09-23,573,226,2,139
2022-09-24,613,311,4,162
2022-09-25,686,376,3,171
2022-09-26,556,149,4,153
2022-09-27,636,131,5,165
2022-09-28,643,30,4,174
2022-09-29,567,-40,3,140
2022-09-30,517,278,4,141
2022-10-01,580,279,1,160
2022-10-02,703,207,1,165
2022-10-03,574,122,3,154
2022-10-04,606,316,5,164
2022-10-05,510,311,3,128
2022-10-06,560,247,4,159
2022-10-07,532,245,3,155
2022-10-08,563,288,4,171
2022-10-09,628,221,3,167
2022-10-10,611,295,4,144
2022-10-11,617,262,2,158
2022-10-12,580,180,6,164
2022-10-13,540,314,4,147
2022-10-14,528,109,7,122
2022-10-15,579,289,7,161
2022-10-16,646,100,5,170
2022-10-17,603,85,4,150
2022-10-18,639,267,2,154
2022-10-19,575,301,-1,138
2022-10-20,550,294,3,138
2022-10-21,489,264,6,122
2022-10-22,526,222,3,141
2022-10-23,610,3,1,158
2022-10-24,517,89,1,129
2022-10-25,550,189,7,120
2022-10-26,569,326,3,126
2022-10-27,570,323,5,145
2022-10-28,503,276,3,130
2022-10-29,529,263,7,131
2022-10-30,573,280,4,129
2022-10-31,524,180,1,138
2022-11-01,538,277,4,127
2022-11-02,534,243,2,137
2022-11-03,535,236,3,117
2022-11-04,500,263,4,167
2022-11-05,578,270,4,152
2022-11-06,643,318,6,167
2022-11-07,575,307,4,139
2022-11-08,574,308,5,152
2022-11-09,537,267,4,138
2022-11-10,469,255,6,122
2022-11-11,536,280,1,136
2022-11-12,555,304,4,130
2022-11-13,618,270,2,171
2022-11-14,567,299,2,132
2022-11-15,637,331,3,165
2022-11-16,643,337,0,156
2022-11-17,500,245,0,127
2022-11-18,533,270,0,145
2022-11-19,562,302,2,119
2022-11-20,590,308,2,156
2022-11-21,550,259,5,137
2022-11-22,547,301,3,117
2022-11-23,512,247,4,142
2022-11-24,479,242,3,141
2022-11-25,547,289,3,141
2022-11-26,556,272,0,140
2022-11-27,691,354,5,159
2022-11-28,589,317,3,129
2022-11-29,658,344,5,160
2022-11-30,682,221,5,167
2022-12-01,589,293,0,158
2022-12-02,541,305,0,145
2022-12-03,666,335,7,150
2022-12-04,668,362,1,186
2022-12-05,580,291,2,147
2022-12-06,622,321,2,140
2022-12-07,518,312,2,139
2022-12-08,474,233,2,132
2022-12-09,501,254,4,128
2022-12-10,534,246,1,118
2022-12-11,694,329,2,161
2022-12-12,631,322,6,154
2022-12-13,580,304,4,131
2022-12-14,564,289,1,148
2022-12-15,617,308,1,156
2022-12-16,611,306,2,172
2022-12-17,656,335,2,151
2022-12-18,725,362,1,172
2022-12-19,736,391,4,172
2022-12-20,663,365,-1,189
2022-12-21,633,309,5,189
2022-12-22,669,319,6,179
2022-12-23,710,343,2,196
2022-12-24,746,335,2,238
2022-12-25,1292,633,3,394
2022-12-26,1213,637,7,317
2022-12-27,1215,658,6,278
2022-12-28,1356,745,2,314
2022-12-29,1279,699,4,312
2022-12-30,1474,791,2,335
2022-12-31,1969,1058,9,375
2023-01-01,3656,1765,1,687
2023-01-02,3260,2314,5,766
2023-01-03,2332,1494,5,520
2023-01-04,1755,1129,6,376
2023-01-05,1629,889,6,333
2023-01-06,1314,760,7,318
2023-01-07,1381,755,7,302
2023-01-08,1471,762,5,319
2023-01-09,1256,656,6,304
2023-01-10,1297,699,8,325
2023-01-11,1100,614,1,299
2023-01-12,1066,401,2,295
2023-01-13,958,286,5,223
2023-01-14,1065,566,2,234
2023-01-15,1182,630,3,273
2023-01-16,1026,507,6,254
2023-01-17,995,522,6,211
2023-01-18,928,461,6,221
2023-01-19,891,439,3,226
2023-01-20,727,422,5,172
2023-01-21,898,450,7,221
2023-01-22,1037,521,5,232
2023-01-23,887,488,9,208
2023-01-24,881,403,-1,218
2023-01-25,917,451,7,221
2023-01-26,837,444,3,230
2023-01-27,748,399,2,203
2023-01-28,895,426,7,212
2023-01-29,941,482,7,213
2023-01-30,740,432,4,195
2023-01-31,815,402,6,189
2023-02-01,807,453,3,175
