Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
86856,A Cooks Tour Global Adventures in Extreme Cuisines,Gabrielle,977,1093,5,"July 20, 2018","""Dear Anthony,This is awkward because I am married and you are dead, but... I think I'm in love with you. I guess developing a posthumous crush is a tad creepy, but hey, no one ever called me normal. Besides, I know you wouldn't have given me the time of day: I eat too much vegetarian food for things to have ever worked out between us. But damn, man, you were truly one of a kind. I've been reading your books and watching old episodes of your shows on Netflix; it breaks my heart a little bit every time, because of the way you left us - but what a legacy you left behind! This book is clearly the ancestor of “The Layover” and “No Reservations”; I devoured every page and wished you'd written a much bigger book. Or a bunch of sequels.This book gave me a glimpse of you that ""Kitchen Confidential"" (https://www.goodreads.com/review/show...) simply didn't. This time, I got to know you, not just your job. You put your soul on those pages, which makes this book vastly superior to its predecessor. I found out here that you were actually a romantic (not something I would have guessed from the other book!), who watched a lot of amazing movies and then went off to find out what happened off-frame in ""Apocalypse Now"", ""Dr. Zhivago"", ""Laurence of Arabia"" and ""The Quiet American"". What a crazy, beautiful thing to do! I must say, I am a bit jealous. You figured out a way to get paid to travel, eat your heart out and get drunk with the locals. Where do I get that job?! Even if the stuff you did for ""A Cook's Tour"" was grittier than ""The Layover"" and ""No Reservations"", it was still pretty damn epic. The way you describe how people live in mysterious places I have never had the chance to visit is so evocative and vivid: I learned some incredible things, and not just about their food! You truly had a way with words, and a gift for observing the world around you: you saw its beauty even in the seediest, most dangerous spots on the planet. You make me want to go there.I mentioned the vegetarian thing being a potential obstacle to our ever-lasting love, but frankly, as much as I love my tofu, reading what you write about foie gras somehow makes me question all my lifestyle choices (though I am truly sorry you had to suffer that vegan potluck in San Francisco; these people clearly don’t respect the vegetables they eat, which is just sad). This book contains a few very frank passages about where the meat that's on people's plates comes from and I actually find that fascinating - if a bit repulsive. My thinking is that if you are going to eat the stuff, you do need to know where it comes from, and if that offends some readers, well... fuck 'em. They can read something else if they want: I personally loved your thoughts about the dietary habits of North Americans and why a lot of them are silly at best, and hypocritically privileged at worse.I read your writing and it makes me want to pack a bag and just go to all the places I haven't been yet, to see how people live there, what they eat and if they'll be my friends. And don't worry about selling out to the Food Network: most of us are whores to a corporate overlord somewhere. You took their money and did exactly what you wanted with it, which is the best way of dealing with this. Your unflinching honesty and shamelessness has a disarming charm that makes me go completely gaga. Your appreciation for all the things (food, obviously, but people's hospitality, their traditions and their work) is so intense that it makes me feel like I've only lived half a life. Your fearlessness inspires me so much.Goodbye, Anthony. I would have tramped all over the world with you.""",191,46
86856,A Cooks Tour Global Adventures in Extreme Cuisines,Patricia Pham,5,3,4,"July 6, 2014","Bourdain - a privileged, hypocritical, crude bastard - manages to write prose that is intriguing, funny, and surprisingly poetic. I began the book as a critic of Bourdain, having just read KITCHEN CONFIDENTIAL, which I found to be shallow and boring at best, and also having watched his show NO RESERVATIONS, which often leaves a bad taste in my mouth for several reasons. Despite all this, there has always been something in Bourdain's writing that has kept me coming back. After reading this book, I've been unwillingly converted. A COOK'S TOUR is actually about FOOD - where it comes from, our relationship to it, and what it reflects - all unfolding through a narrative of vivid, hilarious, and usually grotesque anecdotes. Bourdain's arrogance and self-righteous tirades are quelled by more substantial moments of sensitivity, humility, and romantic introspection. I laughed out loud a minimum of twice per chapter and, at times, was choking with overwhelming sadness. In the end, he might be unfairly frolicking around milking his celebrity, but Bourdain has and will continue to experience the entire world in ways most of us cannot. Again, a lucky asshole who writes a damn good story. ",17,N/A
86856,A Cooks Tour Global Adventures in Extreme Cuisines,MacK,591,192,5,"September 22, 2009","Goals for my life:1) Write better2) Cook better3) Travel moreRedefined goal for life:BE LIKE ANTHONY BOURDAIN.I've listened through this book twice now, and I've loved it both times. In every case there's a new discovery to be had, a new element to enjoy, a new allusion to catch. Bourdain's voice doing the narration, a comforting mix of professor with a smoking habit and friendly guy at the bar, is perfect--naturally because it's his voice reading his words.The meandering journeys through Asia, Europe and Latin America encourage wanderlust in even the most entrenched home bodies. The accounts of food and meals will give you hunger pains even if you're full to the brim on grandma's beef stroganoff. The wit and wisdom and unedited work of America's foremost connoisseur of all things international makes this book a most read for anyone, everyone who enjoys literature, food or travel--which should be (one, two, thre---all of you)",15,N/A
86856,A Cooks Tour Global Adventures in Extreme Cuisines,Kim,401,183,4,"May 22, 2012","Anthony Bourdain's second book has him traveling the globe looking for the ""perfect"" meal. Visiting locales like France, Portugal, Morocco, Japan, Cambodia and Vietnam, as well as a little bit of his home country, Bourdain's goal is to try true, authentic, fresh food and not be afraid to join in and eat like the locals. No matter what their speciality is. Lamb testicles in Morocco, the beating heart of a cobra in Vietnam, haggis in Scotland, nattō in Japan. He's willing (though sometimes understandably reluctant) to try it all and along the way discover that it might actually be good. Except nattō. That just looked disgusting.Told in vignettes each section focuses on one part of the location he is currently in. There are quite a few from Vietnam and even though they happened concurrently and interspersed throughout the book which can be a little odd to read. The journey he went on was also filmed by the Food Network for the show of the same name and I have that ready to watch to add another dimension to the story. From looking at the episode titles on that it seems that is just as mixed up but in a completely different order to the book.I've always been an adventurous eater, willing to try anything once, though I don't have a very wide or refined palate. That said I'd be willing to give his trip a try (minus part of the time in Cambodia where he visited a Khmer Rouge-ran city) and hopefully have my horizons expanded. One of Bourdain's beliefs is that nothing should be wasted and all the places he visits are cultures which also embrace that philosophy. Just because some people may be squeamish with things like offal doesn't mean it should be thrown away. The more that can be used out of one animal means the less total number of animals needed to feed people. And it can be quite tasty. Liver and kidney are both nice, though I'm not really a fan of brain, heart or tongue.One of my issues with the book is it didn't venture to enough places. He visited 5 European countries, 3 in Asia, 2 in the Americas and 1 in Africa. Maybe a little less time in Europe and some more elsewhere would have been good. But his current show, No Reservations, has taken care of that. I really liked Bourdain's attitude - self-deprecating, honest, harsh but always respectful of other cultures and willing to give things a try. And also passionate about the eradication of vegans. A great book I look forward to watching the show and then probably grabbing his next book. ",12,5
86856,A Cooks Tour Global Adventures in Extreme Cuisines,RandomAnthony,394,111,3,"April 18, 2009","Kim says I have a man crush on Anthony Bourdain. So what’s a man crush?My favorite urban dictionary definition of the term reads:Respect, admiration and idolization of another man. Non-sexual. Celebrities, athletes and rock stars are often the object of the man crush.Let’s see. Do I have a man crush on Anthony Bourdain by that definition? Let’s frame the question around my recent reading of A Cook’s Tour.This is Bourdain’s second, book, after Kitchen Confidential. The title is a “double dip”, a technique Bourdain has utilized throughout his career, in which he mines the same experience for both a book and television series. In this case the frame is Bourdain’s search for a perfect meal. However, the “perfect meal” question turns out to be of minimal importance to the narrative, which has the author traveling across the globe, sampling local cuisine and riffing on his responses to the people and culture. Bourdain’s strengths are myriad. First, he’s not some dumbass showing up in Morocco or Paris, trying a snail, and saying, “this tastes good.” He knows his food and he knows it well. The San Francisco chapter, including a visit to Keller’s French Laundry, shows off the author’s encyclopedic food knowledge. Second, he treats the people and cultures he encounters with great respect. Bourdain values consistency and hard work and seems equally awed by both the best chefs in the world and the Bedouin riders that get him high on a desert night. Third, he seems like the kind of guy who doesn’t take himself too seriously but takes his work very seriously. While he’ll mock himself silly for his corporate whoredom to the Food Network pimp, you can tell he doesn’t want to write a crappy book or make a lame episode (although in his own estimation he’s done both). Finally, he writes and talks about food and traveling like a crime fiction fan with a couple of his own crime novels under his belt. All of which is true. He notices the guy who brings the salsa and wonders what he does after work. In some ways I don’t want to like Anthony Bourdain. I’m a vegetarian, in his eyes a sworn enemy (his shredding of a Californian vegetarian potluck is priceless). He never shuts the hell up about New York, and I’m from Chicago. If I saw him on the street I wouldn’t approach him, because I would feel like an asshole and, while he would probably try to be civil, from what I can tell he’s just want to get the hell away from anyone who ever wanted to talk with him about his books. I admire that. If he wanted to bask in fans’ attention I doubt I’d be a fan.But do I have a man crush? Two out of three. I respect and admire Bourdain, but I don’t idolize him. I don’t want to be him. I love his books, and I can’t think of a better show to which to work out than No Reservations. A Cook’s Tour reads like a murderless noir novel where the characters eat a lot and taunt the cameramen. And I like that idea. Bourdain is an original; there’s no one like him, and imitators, well, they sound stupid when they try to sound like Bourdain. So sorry, Kim, no man crush. But I’m reading Twilight next, and there’s always Edward…",8,4
86856,A Cooks Tour Global Adventures in Extreme Cuisines,Karen Foster,664,2,5,"May 19, 2017","Book Club Read.... Loved this travel memoir so much.... Anthony Bourdain's writing captures a precarious balance of cynicism and true wonder that's very hard to achieve. His genuine passion for good food and good people leaps off the page, as he revels in the simplicities of tradition and family in the places he explores. My mouth watered, my feet itched and I laughed my arse off. This book really spoke my language... Off now to binge watch the accompanying tv show, now streaming on Hulu...and crush on him just a little ;)",8,1 comment
86856,A Cooks Tour Global Adventures in Extreme Cuisines,Emily,687,1996,3,"July 7, 2018","I enjoyed this a lot more than Kitchen Confidential, primarily because Anthony Bourdain allows himself to fade into the background in several chapters of the book. I loved his descriptions of meals across the world, and almost every single chapter made me hungry and/or made me laugh out loud. There's a pig roast in Portugal, a market in Vietnam, taco stands in Oaxaca, vodka-soaked dinners in Russia and sake-soaked dinners in Japan. Bourdain has a true gift for writing about food and about meals. This book is about the search for the perfect meal, but he makes sure to qualify that - the perfect meal is ""very rarely the most sophisticated,"" because ""context and memory play powerful roles in all the truly great meals in one's life."" This is absolutely true, at least for me. The thought of venison sausage brings me back immediately to the Texas hill country in the early 2000s, and there's probably nothing better (or less authentic) than my mom's spaghetti. The adventure in this book is less about the search for the perfect meal, and more about reading other cultures through his culinary explorations. The chapters that I enjoyed the most were the most contained and conveyed an absolute sense of place through the meals (Basque, Morocco, Russia, and Portugal). I found the structure of the book a little odd, as well as the choice of locations. Bourdain has three separate chapters about Vietnam. I could certainly read about Vietnamese food forever, but because the chapters are split up through the book I was continually surprised by each return. There's also, rather shockingly, a chapter set in Cambodia, where he pays locals to take him to a Khmer Rouge stronghold. The history lesson on Cambodia is useful, but I found the entire idea that Bourdain would drag (1) his crew and (2) a bunch of local Cambodians to Pailin to be so distasteful that it soured the second part of the book for me. Bourdain repeats a couple of times that he wants to have Adventures, potentially in the style of a Joseph Conrad villain (!); he also mentions that his TV producer gently suggests that he look at a map before he goes to a country. This is certainly an honest representation of why he's choosing to travel, but it veers into a reckless arrogance that I don't particularly like.Bourdain also spends part of an entire chapter defending Gordon Ramsay for being crass and confrontational in his kitchen (I wonder why Anthony Bourdain would do that?), and writes a chapter about San Francisco that seems to be specifically targeted towards demeaning vegetarians. It's certainly possible to go to San Francisco after visiting Cambodia and feel that Americans are lucky to have accessible meat, at all, but Bourdain's attitude towards vegetarianism is so antagonistic and puzzling. If kids in Cambodia are starving, should everyone around the world say, ""You're right! We should be consuming as much factory-farmed meat as possible, because that's an authentic expression of our cuisine?"" There's a world of difference between Bourdain's elevation of the Portuguese pig farm slaughter and his cursory few sentences about the bland and fattening mass-produced food of the Midwest. Are we all supposed to ignore climate change until we've solved world peace? If he didn't want to go to a vegan restaurant in Berkeley, couldn't he have decided to visit India, or Israel, or Ethiopia? You don't have to be popping entire roasted birds in your mouth in Vietnam in order to experience the world's cuisine.Anyway, I liked this a lot, and Bourdain is a gifted writer. But I'm still puzzled by his position as an elder statesman of American food culture. I don't think I particularly like him.",7,2
86856,A Cooks Tour Global Adventures in Extreme Cuisines,Lola Sebastian,178,716,5,"October 13, 2021",This one is really something special. Much better than Kitchen Confidential. There’s a lot of heart and soul in these pages and a part of me really wishes that this were his most popular book. ,7,N/A
86856,A Cooks Tour Global Adventures in Extreme Cuisines,Obsidian,"2,675",917,4,"December 12, 2017","My Goodreads account is not keeping up with my books currently reading. I started this on Saturday (December 9th) and finished it yesterday. Anthony Bourdain is always a good read to me. I really loved his first memoir, Kitchen Confidential. I think due to what is going on in the U.S. right now, I have been reading a lot of cooking memoirs the past few weeks. There is something wonderful about reading about other cultures and their love of food. And I have tried to recreate some menus (did not attempt any in this book though for obvious reasons).Off the bat you get that Bourdain loves food. He loves meeting/talking to other food obsessed people. Starring in a television show that is taking him around the globe to eat food seemed like a win-win. Some scenes were rather hard to read about (the one describing how ducks are stuffed to make foie gras---no thank you), others are humorous, and at times you get a feeling of sadness depending on what Bourdain is going on about in a particular chapter.I have to say that the book itself jumps around a lot. I don't know if this is the order he filmed or what. We go to Russia, Tokyo, Scotland, France, England, Saigon, and other countries with Bourdain and his camera crew along with local men/women who show Bourdain how to eat/prepare their favorite dishes. I would say don't read this if you have a weak stomach though. You read about a pig being slaughtered, a goat, and about Bourdain hunting rabbits (seriously).I think my favorite chapters has to be about Bourdain waxing enthusiastically about Gordon Ramsey and Hubert Keller. I really wish I could eat at The French Laundry cause it sounds wonderful. I didn't rate this five stars since the book jumped around a lot and I didn't know what angle Bourdain was going for in the final execution of this book. Was it to share his love of food? His realizing there is no such thing as a perfect meal, rather it's the memory that you go chasing when thinking of your favorite food? Or was it to showcase other cultures and how they got really screwed by other countries (Vietnam and Cambodia). ",6,N/A
86856,A Cooks Tour Global Adventures in Extreme Cuisines,Leftbanker,770,280,5,"June 29, 2018","I read this in the wake of my lament on hearing of the author’s death. His posthumously aired episode on Berlin on CNN was something of a minor masterpiece and makes me want to pack up and mover there. His short chapter on Gordon Ramsey totally turned my opinion around about that guy, at least until I see him again on TV.Part of Bourdain’s shtick is to bust on all things vegetarian, but his screed in this book is sort of childish and lacks something that is infused in almost everything he writes: humor. I just think that going through life without ever eating meat is dumb. I always mention goiters in my argument, a horrible condition brought on because of the lack of just a trace amount of iodine in the diet. What could people who avoid animal products be missing? All of their former arguments in favor of never eating meat have mostly been invalidated. It just seems stupid and random to say that you don't eat this of that. I could probably survive if I ate less pork, but to swear off this delicious animal for a lifetime is simply a profound error. It smacks of religious fanaticism, and everyone hates religion, right? Most vegetarians are suffering from an eating disorder. It's a way to control what you eat, which is pretty much the definition of an eating disorder.",6,N/A
