date,added,ratings,reviews,to-read
2022-08-16,21,4,0,10
2022-08-17,98,5,2,83
2022-08-18,65,3,0,59
2022-08-19,27,5,0,21
2022-08-20,32,5,0,24
2022-08-21,27,4,0,22
2022-08-22,34,6,0,18
2022-08-23,24,8,0,16
2022-08-24,33,6,2,18
2022-08-25,34,8,0,32
2022-08-26,19,3,0,10
2022-08-27,15,5,0,9
2022-08-28,25,4,1,13
2022-08-29,23,-5,0,17
2022-08-30,34,2,0,21
2022-08-31,40,4,0,26
2022-09-01,19,3,0,11
2022-09-02,20,5,1,11
2022-09-03,27,2,0,14
2022-09-04,35,4,0,24
2022-09-05,38,9,3,28
2022-09-06,28,0,2,17
2022-09-07,34,10,1,17
2022-09-08,22,5,2,16
2022-09-09,21,5,2,14
2022-09-10,21,3,0,17
2022-09-11,25,2,0,20
2022-09-12,31,8,0,19
2022-09-13,31,4,0,19
2022-09-14,16,3,0,11
2022-09-15,12,2,0,9
2022-09-16,15,4,0,6
2022-09-17,20,7,1,12
2022-09-18,25,2,1,12
2022-09-19,23,6,0,15
2022-09-20,17,8,0,10
2022-09-21,16,9,0,9
2022-09-22,21,8,0,13
2022-09-23,14,3,1,9
2022-09-24,23,0,0,20
2022-09-25,28,6,1,15
2022-09-26,23,3,1,18
2022-09-27,28,1,3,17
2022-09-28,36,2,0,25
2022-09-29,23,7,0,15
2022-09-30,25,4,2,20
2022-10-01,26,5,0,16
2022-10-02,25,-4,1,19
2022-10-03,14,-7,0,7
2022-10-04,19,3,1,10
2022-10-05,18,6,2,12
2022-10-06,25,2,0,18
2022-10-07,18,3,0,14
2022-10-08,17,4,0,9
2022-10-09,31,-5,0,19
2022-10-10,20,1,0,14
2022-10-11,8,3,0,6
2022-10-12,22,-11,1,14
2022-10-13,15,7,1,9
2022-10-14,21,0,0,13
2022-10-15,16,5,0,8
2022-10-16,36,-2,0,23
2022-10-17,25,5,1,17
2022-10-18,20,5,0,14
2022-10-19,23,5,0,12
2022-10-20,19,2,1,15
2022-10-21,16,1,0,13
2022-10-22,22,0,0,17
2022-10-23,38,4,1,23
2022-10-24,25,3,0,19
2022-10-25,21,2,0,19
2022-10-26,29,4,0,17
2022-10-27,14,2,0,9
2022-10-28,21,3,0,11
2022-10-29,23,5,1,14
2022-10-30,27,5,0,17
2022-10-31,14,2,1,9
2022-11-01,21,3,0,11
2022-11-02,27,1,0,16
2022-11-03,24,6,0,15
2022-11-04,15,5,0,10
2022-11-05,42,4,1,35
2022-11-06,59,5,0,48
2022-11-07,48,3,0,37
2022-11-08,36,4,1,26
2022-11-09,29,6,0,15
2022-11-10,20,3,1,18
2022-11-11,39,4,0,31
2022-11-12,38,8,1,23
2022-11-13,40,9,1,23
2022-11-14,40,5,0,29
2022-11-15,40,9,2,28
2022-11-16,20,5,-1,13
2022-11-17,17,3,1,14
2022-11-18,18,2,0,11
2022-11-19,28,2,1,22
2022-11-20,27,4,2,18
2022-11-21,19,5,1,15
2022-11-22,28,6,0,15
2022-11-23,24,2,0,18
2022-11-24,17,6,0,12
2022-11-25,29,2,0,20
2022-11-26,33,6,0,21
2022-11-27,40,5,1,28
2022-11-28,26,2,0,11
2022-11-29,34,1,0,26
2022-11-30,35,4,0,24
2022-12-01,25,6,0,16
2022-12-02,24,9,0,13
2022-12-03,20,3,0,14
2022-12-04,41,3,1,31
2022-12-05,39,8,0,31
2022-12-06,39,4,0,27
2022-12-07,22,4,0,16
2022-12-08,15,2,0,11
2022-12-09,27,0,0,19
2022-12-10,24,5,2,15
2022-12-11,36,9,1,22
2022-12-12,35,2,0,26
2022-12-13,39,6,2,20
2022-12-14,28,3,1,22
2022-12-15,28,5,1,14
2022-12-16,19,4,0,10
2022-12-17,30,3,1,15
2022-12-18,28,8,1,14
2022-12-19,30,12,1,14
2022-12-20,21,6,0,17
2022-12-21,24,3,1,17
2022-12-22,25,4,0,16
2022-12-23,32,5,0,15
2022-12-24,27,10,1,15
2022-12-25,34,5,0,18
2022-12-26,39,11,2,29
2022-12-27,32,4,0,18
2022-12-28,41,9,0,27
2022-12-29,36,6,1,27
2022-12-30,36,15,2,18
2022-12-31,35,8,1,24
2023-01-01,70,10,3,41
2023-01-02,68,15,0,47
2023-01-03,53,8,0,42
2023-01-04,26,7,2,20
2023-01-05,51,2,1,35
2023-01-06,39,11,0,29
2023-01-07,52,8,1,30
2023-01-08,41,7,2,25
2023-01-09,40,6,0,27
2023-01-10,33,7,1,22
2023-01-11,30,7,1,16
2023-01-12,35,0,2,27
2023-01-13,27,4,1,16
2023-01-14,27,6,0,21
2023-01-15,53,13,1,30
2023-01-16,49,8,1,31
2023-01-17,44,8,0,33
2023-01-18,49,8,1,36
2023-01-19,32,3,0,27
2023-01-20,27,6,2,22
2023-01-21,30,4,1,24
2023-01-22,39,10,1,25
2023-01-23,32,5,0,21
2023-01-24,32,3,0,19
2023-01-25,49,8,2,23
2023-01-26,28,3,1,20
2023-01-27,31,5,0,21
2023-01-28,38,4,1,23
2023-01-29,30,6,0,19
2023-01-30,32,10,1,26
2023-01-31,34,6,2,24
2023-02-01,41,7,1,25
