date,added,ratings,reviews,to-read
2022-08-16,12,3,0,5
2022-08-17,19,8,1,5
2022-08-18,12,5,0,5
2022-08-19,14,12,0,4
2022-08-20,12,16,1,3
2022-08-21,8,10,0,0
2022-08-22,9,5,0,4
2022-08-23,6,3,0,2
2022-08-24,18,8,0,6
2022-08-25,8,8,2,3
2022-08-26,15,6,0,4
2022-08-27,11,2,0,9
2022-08-28,6,4,0,2
2022-08-29,6,3,0,1
2022-08-30,9,5,1,2
2022-08-31,4,0,0,2
2022-09-01,7,2,0,5
2022-09-02,5,0,0,2
2022-09-03,5,1,0,3
2022-09-04,9,2,0,3
2022-09-05,6,2,0,2
2022-09-06,8,0,1,2
2022-09-07,7,-2,0,3
2022-09-08,11,5,0,2
2022-09-09,6,1,0,3
2022-09-10,8,2,0,5
2022-09-11,7,1,0,3
2022-09-12,6,1,1,1
2022-09-13,2,1,0,1
2022-09-14,1,0,0,1
2022-09-15,3,1,0,2
2022-09-16,3,0,0,3
2022-09-17,7,3,0,3
2022-09-18,9,3,0,2
2022-09-19,9,3,0,5
2022-09-20,2,1,0,1
2022-09-21,5,5,0,1
2022-09-22,5,-14,0,3
2022-09-23,7,-28,0,1
2022-09-24,6,0,0,5
2022-09-25,3,0,0,2
2022-09-26,2,1,0,0
2022-09-27,8,3,0,3
2022-09-28,9,2,1,6
2022-09-29,3,0,0,3
2022-09-30,8,1,0,7
2022-10-01,6,1,0,3
2022-10-02,5,1,0,3
2022-10-03,2,0,0,2
2022-10-04,5,0,0,4
2022-10-05,2,1,0,1
2022-10-06,5,0,0,2
2022-10-07,2,1,0,1
2022-10-08,5,1,0,4
2022-10-09,9,4,0,3
2022-10-10,5,2,0,2
2022-10-11,7,4,0,2
2022-10-12,5,2,0,4
2022-10-13,6,2,0,3
2022-10-14,5,1,0,4
2022-10-15,8,1,0,4
2022-10-16,5,1,-1,1
2022-10-17,5,0,0,2
2022-10-18,15,3,0,7
2022-10-19,7,2,0,2
2022-10-20,5,0,0,2
2022-10-21,6,2,1,1
2022-10-22,5,0,0,3
2022-10-23,6,2,0,2
2022-10-24,5,2,0,2
2022-10-25,1,1,0,1
2022-10-26,2,1,0,1
2022-10-27,4,0,0,3
2022-10-28,4,3,2,1
2022-10-29,7,4,0,3
2022-10-30,5,1,0,0
2022-10-31,5,2,0,1
2022-11-01,2,1,0,0
2022-11-02,3,1,0,0
2022-11-03,3,0,0,3
2022-11-04,10,3,0,5
2022-11-05,13,5,0,4
2022-11-06,7,2,0,5
2022-11-07,6,2,1,1
2022-11-08,7,0,0,4
2022-11-09,7,1,0,2
2022-11-10,6,1,0,2
2022-11-11,6,2,0,1
2022-11-12,5,4,0,3
2022-11-13,6,2,0,3
2022-11-14,6,1,0,3
2022-11-15,7,0,0,3
2022-11-16,4,3,0,2
2022-11-17,5,0,0,3
2022-11-18,4,0,0,1
2022-11-19,5,0,0,4
2022-11-20,7,1,1,4
2022-11-21,5,2,1,3
2022-11-22,7,3,0,2
2022-11-23,5,1,0,2
2022-11-24,2,2,0,1
2022-11-25,4,1,0,1
2022-11-26,3,2,0,2
2022-11-27,3,1,0,1
2022-11-28,4,1,0,2
2022-11-29,2,1,0,2
2022-11-30,4,1,0,2
2022-12-01,4,1,0,3
2022-12-02,1,0,0,0
2022-12-03,4,4,1,0
2022-12-04,12,2,0,4
2022-12-05,3,2,0,0
2022-12-06,4,3,0,0
2022-12-07,4,2,0,1
2022-12-08,4,3,0,2
2022-12-09,6,2,0,0
2022-12-10,6,1,0,1
2022-12-11,4,4,0,1
2022-12-12,3,0,0,3
2022-12-13,8,2,0,5
2022-12-14,8,2,0,2
2022-12-15,3,2,1,0
2022-12-16,2,1,0,0
2022-12-17,1,0,0,0
2022-12-18,6,5,0,1
2022-12-19,2,2,0,0
2022-12-20,6,3,0,2
2022-12-21,5,1,1,2
2022-12-22,6,2,0,4
2022-12-23,6,3,0,2
2022-12-24,4,-1,0,2
2022-12-25,11,1,0,10
2022-12-26,12,4,0,4
2022-12-27,5,3,0,1
2022-12-28,7,0,0,5
2022-12-29,6,5,0,3
2022-12-30,9,4,1,3
2022-12-31,8,1,0,4
2023-01-01,14,4,0,7
2023-01-02,18,4,0,9
2023-01-03,15,6,0,5
2023-01-04,8,2,0,4
2023-01-05,6,4,1,3
2023-01-06,8,4,0,4
2023-01-07,16,4,1,7
2023-01-08,17,6,0,5
2023-01-09,8,2,1,3
2023-01-10,9,2,0,3
2023-01-11,9,4,0,4
2023-01-12,6,3,0,2
2023-01-13,10,0,0,7
2023-01-14,9,2,0,5
2023-01-15,9,2,0,2
2023-01-16,9,2,0,4
2023-01-17,6,3,0,1
2023-01-18,6,3,1,4
2023-01-19,5,0,0,4
2023-01-20,7,4,0,4
2023-01-21,4,3,0,1
2023-01-22,8,2,0,3
2023-01-23,10,2,0,4
2023-01-24,10,2,0,5
2023-01-25,4,1,0,2
2023-01-26,9,1,0,3
2023-01-27,6,1,0,1
2023-01-28,5,1,0,5
2023-01-29,10,1,0,3
2023-01-30,9,3,0,6
2023-01-31,6,2,0,3
2023-02-01,7,1,0,2
