date,added,ratings,reviews,to-read
2022-08-16,136,32,6,69
2022-08-17,135,35,3,70
2022-08-18,190,29,0,157
2022-08-19,214,22,1,168
2022-08-20,168,31,5,114
2022-08-21,172,23,2,112
2022-08-22,134,37,1,71
2022-08-23,345,23,4,286
2022-08-24,231,34,5,172
2022-08-25,158,23,2,109
2022-08-26,147,24,2,102
2022-08-27,159,30,3,96
2022-08-28,159,23,2,103
2022-08-29,169,24,4,111
2022-08-30,177,35,10,117
2022-08-31,150,33,4,78
2022-09-01,123,35,1,62
2022-09-02,130,19,2,81
2022-09-03,129,18,4,76
2022-09-04,228,30,3,172
2022-09-05,153,26,3,113
2022-09-06,154,30,2,94
2022-09-07,133,34,3,65
2022-09-08,121,19,2,72
2022-09-09,118,37,5,62
2022-09-10,119,17,1,70
2022-09-11,131,34,3,70
2022-09-12,140,20,3,75
2022-09-13,106,27,1,66
2022-09-14,84,18,0,54
2022-09-15,95,33,1,63
2022-09-16,113,21,2,71
2022-09-17,123,19,2,76
2022-09-18,156,27,5,101
2022-09-19,141,27,0,85
2022-09-20,105,29,5,71
2022-09-21,99,27,3,70
2022-09-22,122,27,2,75
2022-09-23,105,22,1,56
2022-09-24,127,33,2,75
2022-09-25,121,23,2,69
2022-09-26,84,25,1,56
2022-09-27,107,18,0,70
2022-09-28,106,27,4,59
2022-09-29,120,27,2,63
2022-09-30,106,19,4,53
2022-10-01,99,17,4,57
2022-10-02,112,24,4,61
2022-10-03,121,24,1,54
2022-10-04,112,26,2,62
2022-10-05,68,36,5,43
2022-10-06,87,15,1,49
2022-10-07,95,17,1,46
2022-10-08,104,24,0,55
2022-10-09,96,18,2,61
2022-10-10,90,19,1,46
2022-10-11,113,17,1,64
2022-10-12,96,17,2,61
2022-10-13,86,15,1,57
2022-10-14,84,13,1,50
2022-10-15,118,21,2,62
2022-10-16,154,36,3,90
2022-10-17,131,31,1,81
2022-10-18,109,22,2,63
2022-10-19,99,23,2,55
2022-10-20,88,16,1,50
2022-10-21,97,10,2,59
2022-10-22,75,12,1,38
2022-10-23,153,15,4,97
2022-10-24,104,23,3,55
2022-10-25,80,31,3,42
2022-10-26,82,17,0,54
2022-10-27,78,18,0,45
2022-10-28,86,16,2,50
2022-10-29,97,21,0,53
2022-10-30,106,24,2,64
2022-10-31,103,17,0,56
2022-11-01,113,29,1,54
2022-11-02,102,23,1,53
2022-11-03,95,23,2,42
2022-11-04,87,24,2,44
2022-11-05,111,21,1,61
2022-11-06,125,30,2,61
2022-11-07,116,26,7,59
2022-11-08,108,26,4,54
2022-11-09,86,19,2,44
2022-11-10,74,24,3,46
2022-11-11,86,17,3,41
2022-11-12,88,17,0,48
2022-11-13,114,18,0,68
2022-11-14,109,15,2,64
2022-11-15,120,17,0,67
2022-11-16,132,32,5,75
2022-11-17,97,30,5,60
2022-11-18,91,18,0,50
2022-11-19,102,19,1,63
2022-11-20,120,29,0,61
2022-11-21,89,24,3,53
2022-11-22,100,24,2,51
2022-11-23,84,23,4,45
2022-11-24,102,20,0,54
2022-11-25,88,12,1,51
2022-11-26,116,18,3,66
2022-11-27,132,26,5,68
2022-11-28,111,33,5,62
2022-11-29,98,24,1,64
2022-11-30,105,38,6,53
2022-12-01,101,16,2,58
2022-12-02,84,23,3,51
2022-12-03,113,20,4,62
2022-12-04,128,21,0,75
2022-12-05,105,18,2,60
2022-12-06,90,21,2,59
2022-12-07,87,28,2,56
2022-12-08,99,20,1,65
2022-12-09,83,14,1,48
2022-12-10,105,24,3,52
2022-12-11,116,26,1,70
2022-12-12,105,21,4,62
2022-12-13,98,20,2,53
2022-12-14,101,27,4,57
2022-12-15,99,30,0,49
2022-12-16,85,15,1,40
2022-12-17,116,26,3,57
2022-12-18,102,23,4,52
2022-12-19,118,22,0,73
2022-12-20,91,22,2,63
2022-12-21,116,26,6,68
2022-12-22,138,30,2,80
2022-12-23,127,23,4,83
2022-12-24,100,17,6,65
2022-12-25,115,20,1,71
2022-12-26,196,31,3,113
2022-12-27,186,20,7,105
2022-12-28,149,31,1,87
2022-12-29,132,30,3,87
2022-12-30,191,40,4,114
2022-12-31,222,42,3,114
2023-01-01,267,46,1,149
2023-01-02,271,67,5,154
2023-01-03,259,54,4,159
2023-01-04,167,36,3,85
2023-01-05,165,36,2,97
2023-01-06,187,35,4,101
2023-01-07,167,41,5,91
2023-01-08,176,44,3,99
2023-01-09,184,31,4,103
2023-01-10,170,44,4,92
2023-01-11,128,34,2,83
2023-01-12,136,24,6,79
2023-01-13,151,34,6,77
2023-01-14,136,25,1,72
2023-01-15,180,28,5,98
2023-01-16,157,32,2,80
2023-01-17,126,24,1,72
2023-01-18,184,32,4,117
2023-01-19,164,29,3,95
2023-01-20,127,26,4,80
2023-01-21,167,27,5,84
2023-01-22,177,36,3,100
2023-01-23,144,32,2,76
2023-01-24,154,38,3,82
2023-01-25,147,29,1,73
2023-01-26,142,30,5,77
2023-01-27,154,20,4,97
2023-01-28,151,35,1,70
2023-01-29,163,28,1,87
2023-01-30,112,30,1,75
2023-01-31,144,23,2,92
2023-02-01,141,31,3,83
