date,added,ratings,reviews,to-read
2022-08-16,133,4,0,126
2022-08-17,56,0,0,54
2022-08-18,40,6,1,34
2022-08-19,34,7,0,24
2022-08-20,20,0,0,17
2022-08-21,17,6,0,9
2022-08-22,11,3,1,7
2022-08-23,19,4,1,15
2022-08-24,11,1,0,5
2022-08-25,18,1,0,12
2022-08-26,12,5,0,5
2022-08-27,9,2,0,6
2022-08-28,9,1,0,7
2022-08-29,12,3,1,6
2022-08-30,7,1,0,7
2022-08-31,5,0,0,5
2022-09-01,3,4,0,2
2022-09-02,12,1,0,9
2022-09-03,9,3,1,4
2022-09-04,9,0,0,8
2022-09-05,7,3,0,5
2022-09-06,10,-4,0,6
2022-09-07,15,-4,0,10
2022-09-08,7,1,1,6
2022-09-09,6,3,0,3
2022-09-10,5,0,0,4
2022-09-11,6,0,0,6
2022-09-12,7,1,0,4
2022-09-13,12,3,0,9
2022-09-14,5,4,2,3
2022-09-15,6,2,0,5
2022-09-16,8,-1,0,7
2022-09-17,18,1,0,14
2022-09-18,10,3,0,6
2022-09-19,7,0,0,6
2022-09-20,5,2,1,4
2022-09-21,10,2,0,7
2022-09-22,7,-8,0,7
2022-09-23,7,-28,0,7
2022-09-24,4,2,0,3
2022-09-25,7,3,0,4
2022-09-26,10,2,1,7
2022-09-27,9,2,1,6
2022-09-28,6,2,0,3
2022-09-29,7,-1,1,6
2022-09-30,7,2,1,3
2022-10-01,8,1,0,4
2022-10-02,10,2,0,8
2022-10-03,5,1,0,3
2022-10-04,11,4,1,5
2022-10-05,5,0,0,5
2022-10-06,2,1,1,1
2022-10-07,4,1,0,4
2022-10-08,9,0,0,8
2022-10-09,6,2,0,4
2022-10-10,11,3,0,8
2022-10-11,18,2,0,14
2022-10-12,13,1,0,10
2022-10-13,7,1,0,5
2022-10-14,75,0,0,73
2022-10-15,95,1,0,84
2022-10-16,44,4,0,39
2022-10-17,36,4,0,29
2022-10-18,23,2,0,18
2022-10-19,13,1,1,10
2022-10-20,6,1,0,4
2022-10-21,13,1,1,9
2022-10-22,12,-1,1,8
2022-10-23,10,1,0,5
2022-10-24,8,1,0,6
2022-10-25,11,2,0,5
2022-10-26,6,1,1,4
2022-10-27,7,1,0,6
2022-10-28,9,0,0,8
2022-10-29,11,3,0,7
2022-10-30,10,0,0,9
2022-10-31,8,4,2,4
2022-11-01,7,0,0,6
2022-11-02,10,1,0,9
2022-11-03,11,1,0,7
2022-11-04,5,1,0,3
2022-11-05,5,2,0,3
2022-11-06,7,0,0,5
2022-11-07,2,0,0,2
2022-11-08,2,1,0,2
2022-11-09,9,1,0,5
2022-11-10,3,1,0,3
2022-11-11,10,1,0,7
2022-11-12,9,1,0,7
2022-11-13,8,0,0,6
2022-11-14,13,2,0,7
2022-11-15,6,3,0,4
2022-11-16,6,1,0,5
2022-11-17,11,3,1,9
2022-11-18,3,0,0,3
2022-11-19,10,2,0,7
2022-11-20,19,3,0,14
2022-11-21,6,2,0,5
2022-11-22,4,1,0,4
2022-11-23,5,0,0,4
2022-11-24,5,0,0,5
2022-11-25,9,2,0,6
2022-11-26,10,3,1,8
2022-11-27,8,2,1,4
2022-11-28,8,0,0,7
2022-11-29,8,1,0,7
2022-11-30,5,1,0,2
2022-12-01,16,5,1,11
2022-12-02,11,1,0,8
2022-12-03,9,1,0,7
2022-12-04,7,1,0,6
2022-12-05,9,2,0,7
2022-12-06,10,1,0,6
2022-12-07,5,1,0,3
2022-12-08,4,1,0,3
2022-12-09,3,0,0,2
2022-12-10,9,0,0,7
2022-12-11,12,1,0,9
2022-12-12,7,2,1,5
2022-12-13,94,-1,0,93
2022-12-14,133,5,1,122
2022-12-15,70,1,0,66
2022-12-16,41,0,0,40
2022-12-17,16,1,1,13
2022-12-18,28,3,0,25
2022-12-19,11,2,0,10
2022-12-20,14,1,0,12
2022-12-21,14,1,0,11
2022-12-22,9,5,0,6
2022-12-23,19,2,0,13
2022-12-24,6,1,0,5
2022-12-25,18,1,0,13
2022-12-26,14,1,1,10
2022-12-27,9,-1,0,9
2022-12-28,10,2,0,8
2022-12-29,19,3,1,11
2022-12-30,15,2,0,11
2022-12-31,20,4,0,13
2023-01-01,23,1,0,16
2023-01-02,23,3,0,13
2023-01-03,15,5,1,10
2023-01-04,11,0,0,10
2023-01-05,12,4,0,6
2023-01-06,12,2,0,9
2023-01-07,11,0,0,8
2023-01-08,8,1,0,7
2023-01-09,15,3,0,13
2023-01-10,8,1,0,5
2023-01-11,11,3,0,9
2023-01-12,15,0,0,14
2023-01-13,10,1,0,7
2023-01-14,13,2,0,8
2023-01-15,11,0,0,6
2023-01-16,16,2,0,11
2023-01-17,12,3,2,5
2023-01-18,11,4,0,6
2023-01-19,3,4,0,1
2023-01-20,13,1,0,9
2023-01-21,7,2,0,4
2023-01-22,15,2,0,11
2023-01-23,11,3,1,6
2023-01-24,8,1,0,4
2023-01-25,4,1,1,3
2023-01-26,4,1,0,3
2023-01-27,9,2,0,7
2023-01-28,14,4,0,7
2023-01-29,11,-1,0,4
2023-01-30,8,2,0,6
2023-01-31,9,3,0,5
2023-02-01,16,3,0,11
