date,added,ratings,reviews,to-read
2022-08-16,5,4,0,2
2022-08-17,2,4,0,1
2022-08-18,8,4,0,2
2022-08-19,7,4,0,2
2022-08-20,0,1,0,0
2022-08-21,3,2,0,0
2022-08-22,2,4,1,0
2022-08-23,3,2,0,1
2022-08-24,5,1,0,3
2022-08-25,3,2,0,1
2022-08-26,2,1,0,1
2022-08-27,2,2,0,0
2022-08-28,4,1,0,3
2022-08-29,7,0,0,5
2022-08-30,1,-2,0,1
2022-08-31,2,0,0,2
2022-09-01,4,1,0,3
2022-09-02,4,0,0,1
2022-09-03,4,1,1,2
2022-09-04,3,0,0,2
2022-09-05,3,1,0,2
2022-09-06,1,-4,0,1
2022-09-07,3,-2,0,2
2022-09-08,4,0,0,0
2022-09-09,2,1,0,0
2022-09-10,6,2,0,3
2022-09-11,2,0,0,1
2022-09-12,2,0,0,1
2022-09-13,3,0,0,2
2022-09-14,3,0,0,3
2022-09-15,3,0,0,3
2022-09-16,2,1,0,1
2022-09-17,2,1,0,1
2022-09-18,3,0,0,1
2022-09-19,2,0,0,1
2022-09-20,2,0,0,1
2022-09-21,2,0,0,2
2022-09-22,2,-8,0,1
2022-09-23,0,-44,0,0
2022-09-24,2,0,0,1
2022-09-25,0,1,0,0
2022-09-26,3,0,0,2
2022-09-27,1,1,0,0
2022-09-28,1,0,0,0
2022-09-29,1,0,0,0
2022-09-30,3,0,0,2
2022-10-01,0,0,0,0
2022-10-02,2,1,0,1
2022-10-03,3,0,0,2
2022-10-04,4,1,0,2
2022-10-05,3,0,0,3
2022-10-06,2,1,1,1
2022-10-07,4,1,0,1
2022-10-08,3,-1,0,2
2022-10-09,1,1,0,0
2022-10-10,2,2,0,2
2022-10-11,0,1,0,0
2022-10-12,3,2,0,1
2022-10-13,1,0,0,1
2022-10-14,3,0,0,3
2022-10-15,3,1,0,0
2022-10-16,2,1,0,2
2022-10-17,1,0,0,1
2022-10-18,2,0,0,2
2022-10-19,4,2,0,0
2022-10-20,3,1,1,1
2022-10-21,1,0,0,0
2022-10-22,4,1,0,2
2022-10-23,2,1,0,1
2022-10-24,3,1,0,1
2022-10-25,5,1,0,2
2022-10-26,3,0,0,3
2022-10-27,2,0,0,1
2022-10-28,1,0,0,1
2022-10-29,3,0,0,3
2022-10-30,6,0,0,1
2022-10-31,1,1,0,0
2022-11-01,3,0,0,3
2022-11-02,2,0,0,2
2022-11-03,3,0,0,3
2022-11-04,2,0,0,0
2022-11-05,4,2,0,0
2022-11-06,6,4,0,3
2022-11-07,4,2,0,1
2022-11-08,2,1,0,1
2022-11-09,0,0,0,0
2022-11-10,2,2,0,2
2022-11-11,5,2,1,3
2022-11-12,3,0,0,1
2022-11-13,2,0,0,1
2022-11-14,2,1,0,1
2022-11-15,0,0,0,0
2022-11-16,0,0,0,0
2022-11-17,3,1,0,2
2022-11-18,1,0,0,1
2022-11-19,3,0,0,2
2022-11-20,4,0,0,2
2022-11-21,2,1,0,2
2022-11-22,4,1,0,3
2022-11-23,4,1,0,2
2022-11-24,2,1,0,1
2022-11-25,1,0,0,0
2022-11-26,2,0,0,1
2022-11-27,5,2,0,2
2022-11-28,1,0,0,0
2022-11-29,1,0,0,0
2022-11-30,2,-1,0,2
2022-12-01,2,0,0,1
2022-12-02,3,0,0,1
2022-12-03,2,1,0,1
2022-12-04,5,0,0,4
2022-12-05,4,0,0,2
2022-12-06,2,1,0,1
2022-12-07,1,1,0,1
2022-12-08,0,0,0,0
2022-12-09,1,1,0,1
2022-12-10,35,0,0,20
2022-12-11,14,1,0,7
2022-12-12,10,3,0,5
2022-12-13,9,1,0,4
2022-12-14,11,1,0,6
2022-12-15,6,3,0,2
2022-12-16,5,2,0,0
2022-12-17,5,1,1,2
2022-12-18,5,1,0,1
2022-12-19,4,2,0,2
2022-12-20,3,0,0,0
2022-12-21,8,1,0,3
2022-12-22,3,1,0,1
2022-12-23,2,0,0,1
2022-12-24,7,1,0,2
2022-12-25,4,0,0,2
2022-12-26,6,2,0,2
2022-12-27,6,3,0,5
2022-12-28,4,1,0,1
2022-12-29,3,3,1,1
2022-12-30,3,1,0,2
2022-12-31,4,1,0,3
2023-01-01,11,0,0,6
2023-01-02,6,-1,0,3
2023-01-03,10,-1,0,3
2023-01-04,4,2,0,1
2023-01-05,2,1,0,2
2023-01-06,4,0,0,0
2023-01-07,5,1,0,2
2023-01-08,2,2,0,2
2023-01-09,7,2,0,1
2023-01-10,4,4,0,3
2023-01-11,2,0,0,1
2023-01-12,3,1,0,0
2023-01-13,2,0,0,0
2023-01-14,6,1,0,4
2023-01-15,3,0,0,2
2023-01-16,6,2,1,1
2023-01-17,4,2,0,1
2023-01-18,10,1,0,3
2023-01-19,2,4,1,1
2023-01-20,1,0,0,0
2023-01-21,4,2,0,2
2023-01-22,2,0,0,1
2023-01-23,2,1,0,2
2023-01-24,3,1,0,1
2023-01-25,5,2,0,2
2023-01-26,0,0,0,0
2023-01-27,2,1,0,1
2023-01-28,3,1,0,3
2023-01-29,5,1,0,3
2023-01-30,8,2,0,3
2023-01-31,4,1,0,2
2023-02-01,1,3,1,0
