Title,URL
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire
"Mockingjay (The Hunger Games, #3)",https://www.goodreads.com/book/show/7260188-mockingjay
The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
"New Moon (The Twilight Saga, #2)",https://www.goodreads.com/book/show/49041.New_Moon
"Insurgent (Divergent, #2)",https://www.goodreads.com/book/show/11735983-insurgent
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/book/show/256683.City_of_Bones
"Breaking Dawn (The Twilight Saga, #4)",https://www.goodreads.com/book/show/1162543.Breaking_Dawn
The Perks of Being a Wallflower,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
Looking for Alaska,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
Eleanor & Park,https://www.goodreads.com/book/show/15745753-eleanor-park
"The Giver (The Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver
"Cinder (The Lunar Chronicles, #1)",https://www.goodreads.com/book/show/36381037-cinder
"Allegiant (Divergent, #3)",https://www.goodreads.com/book/show/18710190-allegiant
"The Maze Runner (The Maze Runner, #1)",https://www.goodreads.com/book/show/6186357-the-maze-runner
Paper Towns,https://www.goodreads.com/book/show/6442769-paper-towns
The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com/book/show/28187.The_Lightning_Thief
"The Hate U Give (The Hate U Give, #1)",https://www.goodreads.com/book/show/32075671-the-hate-u-give
"City of Ashes (The Mortal Instruments, #2)",https://www.goodreads.com/book/show/1582996.City_of_Ashes
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",https://www.goodreads.com/book/show/10194157-shadow-and-bone
Thirteen Reasons Why,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why
Fangirl,https://www.goodreads.com/book/show/16068905-fangirl
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children
"Six of Crows (Six of Crows, #1)",https://www.goodreads.com/book/show/23437156-six-of-crows
"The Selection (The Selection, #1)",https://www.goodreads.com/book/show/10507293-the-selection
"City of Glass (The Mortal Instruments, #3)",https://www.goodreads.com/book/show/3777732-city-of-glass
We Were Liars,https://www.goodreads.com/book/show/16143347-we-were-liars
"Throne of Glass (Throne of Glass, #1)",https://www.goodreads.com/book/show/76703559-throne-of-glass
Speak,https://www.goodreads.com/book/show/39280444-speak
"If I Stay (If I Stay, #1)",https://www.goodreads.com/book/show/4374400-if-i-stay
"Clockwork Angel (The Infernal Devices, #1)",https://www.goodreads.com/book/show/7171637-clockwork-angel
"Matched (Matched, #1)",https://www.goodreads.com/book/show/7735333-matched
"The Golden Compass (His Dark Materials, #1)",https://www.goodreads.com/book/show/119322.The_Golden_Compass
"Uglies (Uglies, #1)",https://www.goodreads.com/book/show/24770.Uglies
"The Raven Boys (The Raven Cycle, #1)",https://www.goodreads.com/book/show/17675462-the-raven-boys
"Red Queen (Red Queen, #1)",https://www.goodreads.com/book/show/22328546-red-queen
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
