date,added,ratings,reviews,to-read
2022-08-16,39,10,0,18
2022-08-17,49,13,2,24
2022-08-18,48,11,1,24
2022-08-19,43,18,0,16
2022-08-20,32,10,0,20
2022-08-21,49,9,0,29
2022-08-22,34,8,0,16
2022-08-23,35,2,0,18
2022-08-24,42,-2,1,12
2022-08-25,37,9,2,23
2022-08-26,46,6,0,25
2022-08-27,49,13,0,23
2022-08-28,40,-2,0,21
2022-08-29,44,-42,1,19
2022-08-30,28,16,0,12
2022-08-31,53,12,1,22
2022-09-01,34,8,0,19
2022-09-02,41,9,1,20
2022-09-03,53,10,1,22
2022-09-04,49,15,1,19
2022-09-05,58,23,4,15
2022-09-06,32,-20,0,15
2022-09-07,45,8,1,22
2022-09-08,44,8,0,22
2022-09-09,35,12,2,17
2022-09-10,39,5,0,19
2022-09-11,30,7,0,17
2022-09-12,52,19,0,22
2022-09-13,50,3,0,25
2022-09-14,30,-1,0,19
2022-09-15,28,12,0,12
2022-09-16,52,20,0,16
2022-09-17,42,22,0,14
2022-09-18,48,12,3,21
2022-09-19,38,15,0,21
2022-09-20,32,9,0,19
2022-09-21,47,13,1,19
2022-09-22,53,15,0,22
2022-09-23,32,-14,0,12
2022-09-24,40,9,0,23
2022-09-25,32,6,0,14
2022-09-26,38,-54,1,18
2022-09-27,48,-75,1,23
2022-09-28,43,-89,1,16
2022-09-29,48,-110,0,17
2022-09-30,34,19,3,16
2022-10-01,24,7,0,9
2022-10-02,32,-44,0,15
2022-10-03,35,-14,0,7
2022-10-04,34,8,0,16
2022-10-05,18,5,1,8
2022-10-06,49,14,1,27
2022-10-07,26,0,0,12
2022-10-08,20,4,0,11
2022-10-09,28,-24,1,12
2022-10-10,33,7,1,16
2022-10-11,30,1,1,16
2022-10-12,37,-31,0,12
2022-10-13,23,9,0,13
2022-10-14,30,-64,0,15
2022-10-15,35,2,-1,13
2022-10-16,34,-118,0,13
2022-10-17,28,-108,0,12
2022-10-18,32,-18,0,18
2022-10-19,35,7,1,17
2022-10-20,39,12,2,22
2022-10-21,29,-15,0,17
2022-10-22,30,-15,2,14
2022-10-23,44,-197,0,19
2022-10-24,35,-126,1,16
2022-10-25,22,-131,0,15
2022-10-26,33,6,0,18
2022-10-27,30,11,1,17
2022-10-28,30,5,1,18
2022-10-29,31,5,0,14
2022-10-30,46,2,0,19
2022-10-31,24,-33,0,11
2022-11-01,41,15,1,17
2022-11-02,37,6,0,19
2022-11-03,43,-21,1,22
2022-11-04,31,13,2,15
2022-11-05,38,1,0,24
2022-11-06,45,6,1,23
2022-11-07,43,13,2,15
2022-11-08,43,12,3,23
2022-11-09,41,19,1,14
2022-11-10,31,10,0,20
2022-11-11,27,7,1,10
2022-11-12,38,8,0,17
2022-11-13,33,11,2,13
2022-11-14,39,10,1,18
2022-11-15,33,9,2,11
2022-11-16,24,8,1,13
2022-11-17,28,12,1,13
2022-11-18,32,4,1,15
2022-11-19,38,15,2,11
2022-11-20,61,5,0,39
2022-11-21,34,11,1,21
2022-11-22,23,4,0,14
2022-11-23,38,9,0,22
2022-11-24,30,12,0,12
2022-11-25,28,9,1,14
2022-11-26,47,7,1,30
2022-11-27,43,14,0,17
2022-11-28,41,16,1,21
2022-11-29,38,10,0,21
2022-11-30,46,8,0,14
2022-12-01,41,9,0,21
2022-12-02,39,11,2,17
2022-12-03,35,0,0,14
2022-12-04,24,13,2,8
2022-12-05,48,12,2,22
2022-12-06,39,15,5,17
2022-12-07,31,13,1,15
2022-12-08,39,10,1,14
2022-12-09,29,13,2,10
2022-12-10,30,8,0,14
2022-12-11,44,8,0,22
2022-12-12,28,5,2,17
2022-12-13,45,13,1,16
2022-12-14,45,8,1,21
2022-12-15,44,11,1,22
2022-12-16,37,10,0,15
2022-12-17,46,11,3,22
2022-12-18,46,15,1,15
2022-12-19,42,11,1,17
2022-12-20,40,9,1,20
2022-12-21,44,15,0,17
2022-12-22,38,14,1,23
2022-12-23,47,8,2,23
2022-12-24,18,9,0,11
2022-12-25,41,11,1,20
2022-12-26,50,9,1,19
2022-12-27,46,11,1,11
2022-12-28,58,15,1,20
2022-12-29,40,13,0,18
2022-12-30,78,10,2,34
2022-12-31,81,18,1,36
2023-01-01,109,20,3,34
2023-01-02,95,31,3,31
2023-01-03,81,28,1,27
2023-01-04,43,20,1,14
2023-01-05,45,15,2,24
2023-01-06,60,15,2,27
2023-01-07,55,10,3,28
2023-01-08,64,15,2,24
2023-01-09,41,12,2,19
2023-01-10,64,20,0,27
2023-01-11,39,11,1,14
2023-01-12,52,-38,1,18
2023-01-13,46,-58,0,22
2023-01-14,45,6,0,18
2023-01-15,45,13,0,17
2023-01-16,41,6,2,16
2023-01-17,52,9,1,33
2023-01-18,52,9,2,27
2023-01-19,40,11,2,16
2023-01-20,34,11,1,18
2023-01-21,43,9,1,15
2023-01-22,54,9,1,23
2023-01-23,42,3,3,19
2023-01-24,33,16,1,14
2023-01-25,39,6,1,15
2023-01-26,38,14,0,13
2023-01-27,52,14,0,17
2023-01-28,39,20,0,13
2023-01-29,48,7,1,22
2023-01-30,33,24,1,13
2023-01-31,29,7,-1,17
2023-02-01,33,8,1,16
