date,added,ratings,reviews,to-read
2022-08-16,215,77,7,59
2022-08-17,247,85,2,74
2022-08-18,200,81,1,55
2022-08-19,213,69,4,63
2022-08-20,189,38,3,55
2022-08-21,167,81,6,56
2022-08-22,208,63,4,50
2022-08-23,185,76,4,58
2022-08-24,209,51,2,60
2022-08-25,171,51,2,52
2022-08-26,187,74,0,53
2022-08-27,204,77,1,53
2022-08-28,205,27,5,59
2022-08-29,231,-66,3,78
2022-08-30,206,63,8,64
2022-08-31,237,68,5,51
2022-09-01,190,63,5,66
2022-09-02,163,46,2,60
2022-09-03,173,38,2,66
2022-09-04,226,49,4,70
2022-09-05,215,66,0,54
2022-09-06,205,-47,1,52
2022-09-07,167,49,-1,42
2022-09-08,150,58,1,43
2022-09-09,184,55,3,58
2022-09-10,166,42,1,45
2022-09-11,154,58,3,44
2022-09-12,163,59,3,40
2022-09-13,164,52,1,37
2022-09-14,147,26,3,50
2022-09-15,136,65,4,36
2022-09-16,119,34,3,36
2022-09-17,164,38,2,64
2022-09-18,165,54,5,41
2022-09-19,172,45,2,58
2022-09-20,132,54,0,29
2022-09-21,127,46,3,42
2022-09-22,135,33,3,34
2022-09-23,139,-12,7,45
2022-09-24,149,40,2,49
2022-09-25,160,35,2,50
2022-09-26,113,-49,1,39
2022-09-27,150,-94,3,39
2022-09-28,146,-138,4,54
2022-09-29,136,-120,5,39
2022-09-30,131,47,2,42
2022-10-01,146,30,3,49
2022-10-02,160,-80,3,48
2022-10-03,146,-34,2,42
2022-10-04,157,43,1,43
2022-10-05,126,46,3,35
2022-10-06,144,49,4,39
2022-10-07,122,36,0,34
2022-10-08,125,39,3,33
2022-10-09,165,-16,2,47
2022-10-10,161,47,7,53
2022-10-11,154,24,3,39
2022-10-12,139,-60,6,36
2022-10-13,125,39,2,35
2022-10-14,122,-122,2,50
2022-10-15,130,30,0,50
2022-10-16,181,-148,1,53
2022-10-17,169,-85,6,35
2022-10-18,133,-4,1,47
2022-10-19,137,46,0,37
2022-10-20,154,41,4,36
2022-10-21,142,6,2,53
2022-10-22,141,9,3,44
2022-10-23,142,-233,1,40
2022-10-24,141,-129,4,44
2022-10-25,143,-74,3,46
2022-10-26,99,45,0,26
2022-10-27,151,45,6,46
2022-10-28,140,36,6,45
2022-10-29,113,35,3,30
2022-10-30,129,22,-1,28
2022-10-31,120,4,4,22
2022-11-01,165,45,0,47
2022-11-02,148,50,2,52
2022-11-03,131,11,1,38
2022-11-04,134,38,5,33
2022-11-05,125,38,1,40
2022-11-06,160,44,0,48
2022-11-07,142,60,4,38
2022-11-08,148,33,1,40
2022-11-09,137,47,3,39
2022-11-10,125,28,3,37
2022-11-11,166,57,4,58
2022-11-12,115,39,1,33
2022-11-13,173,38,5,55
2022-11-14,141,53,2,41
2022-11-15,163,40,3,42
2022-11-16,135,48,6,46
2022-11-17,119,41,1,37
2022-11-18,119,32,2,32
2022-11-19,145,40,3,40
2022-11-20,173,54,6,40
2022-11-21,129,40,0,42
2022-11-22,148,48,1,40
2022-11-23,128,30,3,35
2022-11-24,118,51,3,27
2022-11-25,142,52,3,44
2022-11-26,159,35,2,46
2022-11-27,178,47,1,53
2022-11-28,156,41,4,47
2022-11-29,157,41,5,42
2022-11-30,150,31,3,39
2022-12-01,130,46,3,29
2022-12-02,121,52,2,31
2022-12-03,139,42,3,36
2022-12-04,146,37,1,46
2022-12-05,139,41,1,34
2022-12-06,168,49,4,44
2022-12-07,124,61,0,30
2022-12-08,102,23,1,33
2022-12-09,128,30,3,39
2022-12-10,127,28,0,40
2022-12-11,180,53,1,54
2022-12-12,169,47,2,36
2022-12-13,170,55,5,54
2022-12-14,153,50,8,44
2022-12-15,178,52,4,45
2022-12-16,162,48,4,42
2022-12-17,162,44,2,45
2022-12-18,178,32,2,54
2022-12-19,193,55,8,56
2022-12-20,148,53,4,38
2022-12-21,174,46,1,49
2022-12-22,198,54,6,43
2022-12-23,164,55,2,39
2022-12-24,159,46,2,49
2022-12-25,234,58,4,87
2022-12-26,260,66,7,78
2022-12-27,341,111,6,98
2022-12-28,351,130,9,90
2022-12-29,266,94,9,74
2022-12-30,379,102,1,113
2022-12-31,389,143,12,92
2023-01-01,757,109,2,211
2023-01-02,742,298,4,188
2023-01-03,601,185,8,148
2023-01-04,399,151,4,122
2023-01-05,389,103,5,121
2023-01-06,315,71,2,104
2023-01-07,353,103,2,95
2023-01-08,362,99,9,102
2023-01-09,342,96,4,78
2023-01-10,314,124,4,81
2023-01-11,255,67,0,88
2023-01-12,288,7,2,76
2023-01-13,249,-67,4,72
2023-01-14,272,71,5,95
2023-01-15,291,93,7,85
2023-01-16,287,83,0,77
2023-01-17,233,94,6,64
2023-01-18,248,62,5,69
2023-01-19,239,68,3,62
2023-01-20,155,57,5,50
2023-01-21,224,55,5,60
2023-01-22,265,85,6,71
2023-01-23,248,54,5,53
2023-01-24,276,85,0,58
2023-01-25,240,65,3,81
2023-01-26,216,81,1,64
2023-01-27,232,62,5,69
2023-01-28,213,55,5,70
2023-01-29,229,59,5,68
2023-01-30,162,50,-1,51
2023-01-31,190,59,9,61
2023-02-01,215,72,6,59
