date,added,ratings,reviews,to-read
2022-08-16,89,19,0,56
2022-08-17,109,20,3,56
2022-08-18,91,30,0,51
2022-08-19,70,24,2,43
2022-08-20,91,14,0,51
2022-08-21,82,25,3,51
2022-08-22,130,28,1,81
2022-08-23,154,27,1,109
2022-08-24,156,15,1,118
2022-08-25,90,19,1,63
2022-08-26,100,22,1,63
2022-08-27,84,27,1,55
2022-08-28,85,-2,2,55
2022-08-29,97,-52,1,64
2022-08-30,80,28,-1,56
2022-08-31,85,-8,1,58
2022-09-01,97,19,2,59
2022-09-02,65,17,0,41
2022-09-03,71,15,0,46
2022-09-04,90,15,2,51
2022-09-05,80,31,1,49
2022-09-06,77,-28,1,46
2022-09-07,102,22,1,55
2022-09-08,86,16,0,47
2022-09-09,55,10,3,36
2022-09-10,83,17,1,50
2022-09-11,58,9,1,44
2022-09-12,76,15,1,43
2022-09-13,83,19,3,50
2022-09-14,63,6,0,33
2022-09-15,70,26,0,46
2022-09-16,81,19,2,46
2022-09-17,85,17,0,49
2022-09-18,79,21,1,43
2022-09-19,70,11,0,51
2022-09-20,62,23,1,35
2022-09-21,58,18,2,39
2022-09-22,71,19,1,42
2022-09-23,81,-58,0,45
2022-09-24,85,17,0,52
2022-09-25,88,27,1,46
2022-09-26,55,-68,2,31
2022-09-27,81,-113,2,44
2022-09-28,70,-153,2,35
2022-09-29,52,-194,2,26
2022-09-30,52,10,3,32
2022-10-01,56,11,2,33
2022-10-02,76,-46,3,48
2022-10-03,57,-37,3,32
2022-10-04,59,12,1,30
2022-10-05,59,19,-1,39
2022-10-06,60,16,3,38
2022-10-07,57,12,1,30
2022-10-08,67,16,2,46
2022-10-09,75,-26,1,46
2022-10-10,69,16,1,40
2022-10-11,61,-5,1,33
2022-10-12,65,-32,2,33
2022-10-13,56,17,1,42
2022-10-14,53,-63,1,34
2022-10-15,57,11,3,33
2022-10-16,84,-134,1,44
2022-10-17,84,-116,1,53
2022-10-18,61,-35,2,36
2022-10-19,56,12,2,30
2022-10-20,54,14,1,33
2022-10-21,61,-17,0,39
2022-10-22,56,-38,1,30
2022-10-23,75,-212,1,47
2022-10-24,66,-174,1,38
2022-10-25,60,-158,0,48
2022-10-26,50,8,0,33
2022-10-27,64,15,0,42
2022-10-28,62,13,0,43
2022-10-29,54,12,-1,35
2022-10-30,69,1,0,39
2022-10-31,59,-62,1,39
2022-11-01,69,9,1,48
2022-11-02,97,12,3,62
2022-11-03,75,-22,1,48
2022-11-04,62,13,1,39
2022-11-05,86,18,0,58
2022-11-06,82,26,2,50
2022-11-07,63,13,2,38
2022-11-08,86,10,1,56
2022-11-09,87,25,3,48
2022-11-10,62,22,1,37
2022-11-11,69,23,-1,45
2022-11-12,73,8,0,55
2022-11-13,87,14,1,57
2022-11-14,98,15,2,60
2022-11-15,59,14,1,33
2022-11-16,61,13,0,42
2022-11-17,76,13,0,53
2022-11-18,59,9,2,34
2022-11-19,60,12,0,38
2022-11-20,79,16,4,45
2022-11-21,56,15,0,36
2022-11-22,70,15,2,40
2022-11-23,56,9,2,38
2022-11-24,59,6,1,35
2022-11-25,54,12,0,40
2022-11-26,67,12,3,44
2022-11-27,66,16,0,36
2022-11-28,94,15,1,61
2022-11-29,75,18,1,41
2022-11-30,67,9,0,43
2022-12-01,80,15,1,34
2022-12-02,58,23,0,38
2022-12-03,63,9,2,39
2022-12-04,73,16,0,37
2022-12-05,92,18,1,56
2022-12-06,74,27,1,36
2022-12-07,56,15,0,36
2022-12-08,58,17,1,44
2022-12-09,56,2,0,38
2022-12-10,68,10,-1,39
2022-12-11,79,11,1,57
2022-12-12,77,12,1,44
2022-12-13,75,14,1,45
2022-12-14,67,20,0,38
2022-12-15,96,31,3,55
2022-12-16,62,15,2,39
2022-12-17,85,13,0,45
2022-12-18,70,18,1,40
2022-12-19,70,30,2,30
2022-12-20,67,10,1,47
2022-12-21,107,28,0,50
2022-12-22,73,33,2,41
2022-12-23,75,20,2,45
2022-12-24,56,22,5,28
2022-12-25,89,10,0,54
2022-12-26,83,17,0,47
2022-12-27,94,28,5,53
2022-12-28,100,20,2,56
2022-12-29,127,25,5,98
2022-12-30,92,17,2,55
2022-12-31,112,26,3,62
2023-01-01,190,34,1,97
2023-01-02,182,38,-1,99
2023-01-03,141,37,3,88
2023-01-04,105,26,0,64
2023-01-05,106,17,1,65
2023-01-06,88,14,1,60
2023-01-07,117,13,0,72
2023-01-08,106,28,2,54
2023-01-09,106,28,0,56
2023-01-10,102,14,0,64
2023-01-11,92,15,0,65
2023-01-12,102,-101,-1,63
2023-01-13,95,-127,1,64
2023-01-14,99,12,1,64
2023-01-15,100,14,1,54
2023-01-16,72,20,2,43
2023-01-17,88,11,-1,55
2023-01-18,100,22,1,63
2023-01-19,76,15,2,50
2023-01-20,72,17,0,47
2023-01-21,90,23,3,54
2023-01-22,99,17,1,62
2023-01-23,84,8,1,53
2023-01-24,86,16,2,49
2023-01-25,92,20,0,53
2023-01-26,99,15,0,62
2023-01-27,206,10,0,171
2023-01-28,134,19,0,92
2023-01-29,114,15,1,74
2023-01-30,98,8,1,74
2023-01-31,85,19,1,47
2023-02-01,81,20,4,46
