date,added,ratings,reviews,to-read
2022-08-16,31,11,0,19
2022-08-17,25,5,1,13
2022-08-18,32,11,1,23
2022-08-19,28,0,0,18
2022-08-20,29,7,1,16
2022-08-21,26,6,1,16
2022-08-22,30,9,3,17
2022-08-23,23,6,0,17
2022-08-24,39,7,0,24
2022-08-25,31,3,2,22
2022-08-26,25,4,0,14
2022-08-27,24,7,1,16
2022-08-28,27,-2,3,20
2022-08-29,34,-26,0,26
2022-08-30,17,1,0,11
2022-08-31,45,0,2,25
2022-09-01,29,8,2,15
2022-09-02,20,0,-1,12
2022-09-03,31,8,0,17
2022-09-04,25,6,0,15
2022-09-05,31,1,0,21
2022-09-06,40,-11,0,28
2022-09-07,33,7,0,21
2022-09-08,25,3,0,18
2022-09-09,31,6,0,20
2022-09-10,36,2,0,21
2022-09-11,31,10,0,25
2022-09-12,32,6,0,16
2022-09-13,40,10,1,23
2022-09-14,30,3,1,19
2022-09-15,27,3,0,21
2022-09-16,26,4,1,17
2022-09-17,22,4,1,16
2022-09-18,38,5,0,26
2022-09-19,19,5,0,12
2022-09-20,19,4,0,13
2022-09-21,24,5,0,17
2022-09-22,28,6,1,16
2022-09-23,44,-41,1,28
2022-09-24,18,4,1,9
2022-09-25,34,7,1,17
2022-09-26,31,-49,2,20
2022-09-27,27,-51,1,15
2022-09-28,31,-73,1,16
2022-09-29,27,-108,1,17
2022-09-30,37,6,2,19
2022-10-01,24,5,0,12
2022-10-02,32,-23,2,22
2022-10-03,39,-13,1,25
2022-10-04,42,5,0,25
2022-10-05,33,13,1,23
2022-10-06,43,9,2,26
2022-10-07,27,10,1,10
2022-10-08,18,5,1,11
2022-10-09,28,-4,0,11
2022-10-10,28,3,0,14
2022-10-11,30,8,3,12
2022-10-12,50,-11,0,24
2022-10-13,27,9,2,20
2022-10-14,34,-28,0,24
2022-10-15,36,5,2,16
2022-10-16,39,-71,0,24
2022-10-17,36,-48,1,20
2022-10-18,39,0,-1,20
2022-10-19,42,9,2,24
2022-10-20,29,13,1,13
2022-10-21,32,-6,0,22
2022-10-22,21,-12,1,10
2022-10-23,39,-104,2,22
2022-10-24,43,-96,3,21
2022-10-25,23,-100,2,14
2022-10-26,22,8,0,10
2022-10-27,34,10,0,18
2022-10-28,27,7,1,9
2022-10-29,30,9,2,12
2022-10-30,23,-6,0,17
2022-10-31,26,-29,0,13
2022-11-01,25,10,3,10
2022-11-02,32,5,0,17
2022-11-03,20,-19,0,15
2022-11-04,23,4,1,12
2022-11-05,23,3,1,17
2022-11-06,24,8,2,14
2022-11-07,23,5,1,12
2022-11-08,38,6,0,22
2022-11-09,22,14,2,9
2022-11-10,30,7,0,16
2022-11-11,27,5,1,15
2022-11-12,27,10,0,14
2022-11-13,26,5,1,14
2022-11-14,22,8,1,12
2022-11-15,28,4,2,16
2022-11-16,24,11,0,12
2022-11-17,24,10,-1,18
2022-11-18,19,4,1,15
2022-11-19,26,6,0,15
2022-11-20,19,2,0,12
2022-11-21,13,6,0,10
2022-11-22,21,-1,0,15
2022-11-23,19,5,0,11
2022-11-24,21,2,0,13
2022-11-25,18,7,1,10
2022-11-26,25,6,1,18
2022-11-27,28,5,1,16
2022-11-28,20,8,1,9
2022-11-29,23,1,0,16
2022-11-30,29,-1,1,14
2022-12-01,22,6,-1,12
2022-12-02,25,3,2,14
2022-12-03,21,4,0,10
2022-12-04,15,5,1,11
2022-12-05,22,3,0,16
2022-12-06,22,1,0,15
2022-12-07,18,3,0,12
2022-12-08,25,4,0,16
2022-12-09,26,5,1,17
2022-12-10,17,5,0,10
2022-12-11,32,4,0,24
2022-12-12,27,11,0,13
2022-12-13,26,7,0,17
2022-12-14,22,5,1,16
2022-12-15,19,5,0,9
2022-12-16,28,6,0,17
2022-12-17,25,2,0,16
2022-12-18,26,4,0,19
2022-12-19,21,3,0,11
2022-12-20,26,8,1,16
2022-12-21,28,8,0,13
2022-12-22,18,4,0,10
2022-12-23,23,7,0,15
2022-12-24,12,2,0,9
2022-12-25,29,4,0,14
2022-12-26,31,7,0,19
2022-12-27,26,6,0,17
2022-12-28,27,3,-1,17
2022-12-29,28,3,0,16
2022-12-30,38,4,1,19
2022-12-31,56,10,2,32
2023-01-01,171,21,1,126
2023-01-02,76,15,1,40
2023-01-03,129,12,0,111
2023-01-04,410,15,0,383
2023-01-05,408,11,0,375
2023-01-06,119,20,4,95
2023-01-07,111,11,0,89
2023-01-08,98,8,0,79
2023-01-09,69,7,1,53
2023-01-10,65,10,1,46
2023-01-11,66,10,1,51
2023-01-12,135,-59,0,118
2023-01-13,68,-71,1,51
2023-01-14,48,4,1,35
2023-01-15,56,11,0,38
2023-01-16,52,0,0,42
2023-01-17,43,5,1,27
2023-01-18,351,15,0,322
2023-01-19,57,10,1,46
2023-01-20,36,4,1,25
2023-01-21,45,11,0,30
2023-01-22,49,7,1,27
2023-01-23,34,4,-1,22
2023-01-24,44,7,1,26
2023-01-25,35,0,0,25
2023-01-26,47,6,0,27
2023-01-27,36,10,0,24
2023-01-28,38,7,1,26
2023-01-29,45,7,0,32
2023-01-30,35,6,1,25
2023-01-31,31,6,2,18
2023-02-01,39,7,1,27
